@relation adult-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Age numeric
@attribute Workclass {' State-gov',' Self-emp-not-inc',' Private',' Federal-gov',' Local-gov',' ?',' Self-emp-inc',' Without-pay',' Never-worked'}
@attribute education {' Bachelors',' HS-grad',' 11th',' Masters',' 9th',' Some-college',' Assoc-acdm',' Assoc-voc',' 7th-8th',' Doctorate',' Prof-school',' 5th-6th',' 10th',' 1st-4th',' Preschool',' 12th'}
@attribute marital-status {' Never-married',' Married-civ-spouse',' Divorced',' Married-spouse-absent',' Separated',' Married-AF-spouse',' Widowed'}
@attribute occupation {' Adm-clerical',' Exec-managerial',' Handlers-cleaners',' Prof-specialty',' Other-service',' Sales',' Craft-repair',' Transport-moving',' Farming-fishing',' Machine-op-inspct',' Tech-support',' ?',' Protective-serv',' Armed-Forces',' Priv-house-serv'}
@attribute relationship {' Not-in-family',' Husband',' Wife',' Own-child',' Unmarried',' Other-relative'}
@attribute race {' White',' Black',' Asian-Pac-Islander',' Amer-Indian-Eskimo',' Other'}
@attribute sex {' Male',' Female'}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute native-country {' United-States',' Cuba',' Jamaica',' India',' ?',' Mexico',' South',' Puerto-Rico',' Honduras',' England',' Canada',' Germany',' Iran',' Philippines',' Italy',' Poland',' Columbia',' Cambodia',' Thailand',' Ecuador',' Laos',' Taiwan',' Haiti',' Portugal',' Dominican-Republic',' El-Salvador',' France',' Guatemala',' China',' Japan',' Yugoslavia',' Peru',' Outlying-US(Guam-USVI-etc)',' Scotland',' Trinadad&Tobago',' Greece',' Nicaragua',' Vietnam',' Hong',' Ireland',' Hungary',' Holand-Netherlands'}

@data
0.726027,' ?',' Some-college',' Married-civ-spouse',' ?',' Husband',' White',' Male',0,0,0.030612,' United-States'
0.534247,' Private',' 9th',' Married-civ-spouse',' Transport-moving',' Husband',' Black',' Male',0,0,0.397959,' United-States'
0.452055,' Private',' HS-grad',' Separated',' Prof-specialty',' Unmarried',' Other',' Female',0,0,0.602041,' Puerto-Rico'
0.191781,' Private',' Some-college',' Married-civ-spouse',' Sales',' Husband',' Asian-Pac-Islander',' Male',0,0,0.5,' Taiwan'
0.09589,' Private',' HS-grad',' Never-married',' Adm-clerical',' Not-in-family',' White',' Female',0.02597,0,0.397959,' United-States'
0.589041,' Private',' 10th',' Divorced',' Farming-fishing',' Not-in-family',' White',' Male',0,0,0.479592,' United-States'
0.575342,' Private',' HS-grad',' Never-married',' Adm-clerical',' Not-in-family',' White',' Male',0,0,0.5,' Guatemala'
0.712329,' State-gov',' Some-college',' Widowed',' Adm-clerical',' Not-in-family',' White',' Female',0,0.18595,0.377551,' United-States'
0.109589,' Private',' Bachelors',' Never-married',' Tech-support',' Not-in-family',' White',' Male',0,0,0.397959,' United-States'
0.109589,' Private',' Some-college',' Never-married',' Prof-specialty',' Not-in-family',' White',' Female',0,0,0.071429,' United-States'
0.452055,' Private',' Bachelors',' Divorced',' Exec-managerial',' Not-in-family',' White',' Male',0,0,0.55102,' United-States'
0.164384,' Private',' Some-college',' Never-married',' Machine-op-inspct',' Own-child',' White',' Male',0,0,0.44898,' United-States'
0.232877,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,0.602041,' United-States'
0.315068,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,0.755102,' United-States'
0.547945,' Private',' HS-grad',' Widowed',' Sales',' Unmarried',' White',' Female',0,0,0.316327,' United-States'
0.39726,' Local-gov',' Bachelors',' Never-married',' Prof-specialty',' Not-in-family',' Black',' Female',0,0,0.397959,' United-States'
0.205479,' Private',' HS-grad',' Separated',' Exec-managerial',' Not-in-family',' White',' Male',0,0,0.397959,' ?'
0.328767,' State-gov',' Bachelors',' Divorced',' Exec-managerial',' Not-in-family',' White',' Male',0,0,0.397959,' United-States'
0.191781,' Private',' Doctorate',' Married-civ-spouse',' Prof-specialty',' Husband',' Asian-Pac-Islander',' Male',0,0,0.397959,' China'
0.479452,' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.328767,' Private',' HS-grad',' Separated',' Adm-clerical',' Not-in-family',' Black',' Male',0.02354,0,0.397959,' United-States'
0.315068,' Private',' Bachelors',' Separated',' Sales',' Not-in-family',' White',' Male',0,0,0.397959,' United-States'
0.410959,' Local-gov',' Some-college',' Married-civ-spouse',' Protective-serv',' Husband',' White',' Male',0,0,0.5,' United-States'
0.39726,' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,0.397959,' ?'
0.205479,' Self-emp-inc',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0.076881,0,0.397959,' United-States'
0.520548,' Private',' HS-grad',' Divorced',' Other-service',' Not-in-family',' White',' Male',0,0,0.397959,' ?'
0.150685,' Private',' Some-college',' Never-married',' Craft-repair',' Own-child',' Amer-Indian-Eskimo',' Male',0,0,0.397959,' United-States'
0.589041,' State-gov',' Bachelors',' Divorced',' Exec-managerial',' Not-in-family',' White',' Female',0,0,0.346939,' United-States'
0.260274,' Private',' HS-grad',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,0.44898,' United-States'
0.178082,' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' Asian-Pac-Islander',' Male',0,0,0.397959,' Hong'
0.068493,' Private',' HS-grad',' Never-married',' Sales',' Own-child',' White',' Female',0,0,0.397959,' United-States'
0.452055,' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.068493,' ?',' Some-college',' Never-married',' ?',' Not-in-family',' Black',' Female',0,0,0.346939,' United-States'
0.479452,' Private',' Doctorate',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,0.377551,' United-States'
0.30137,' Private',' HS-grad',' Never-married',' Handlers-cleaners',' Other-relative',' White',' Male',0,0,0.397959,' United-States'
0.438356,' Self-emp-inc',' Some-college',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0.150242,0,0.5,' United-States'
0.712329,' Self-emp-inc',' Masters',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0.065141,0,0.397959,' United-States'
0.232877,' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.260274,' Self-emp-not-inc',' Doctorate',' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,0.295918,' ?'
0.383562,' Federal-gov',' Bachelors',' Never-married',' Protective-serv',' Not-in-family',' Black',' Female',0,0,0.397959,' United-States'
0.260274,' Private',' HS-grad',' Never-married',' Craft-repair',' Own-child',' Black',' Male',0,0,0.397959,' United-States'
0.39726,' Self-emp-not-inc',' HS-grad',' Married-civ-spouse',' Sales',' Husband',' Black',' Male',0,0,0.602041,' United-States'
0.041096,' Local-gov',' HS-grad',' Married-civ-spouse',' Protective-serv',' Husband',' Black',' Male',0,0,0.295918,' Puerto-Rico'
0.273973,' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Own-child',' White',' Male',0.03137,0,0.397959,' United-States'
0.547945,' Private',' 1st-4th',' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,0.397959,' Portugal'
0.068493,' Private',' Some-college',' Never-married',' Sales',' Own-child',' White',' Female',0,0,0.193878,' Mexico'
0.273973,' Self-emp-not-inc',' Bachelors',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,0.653061,' United-States'
0.013699,' ?',' 11th',' Never-married',' ?',' Own-child',' White',' Male',0,0,0.244898,' United-States'
0.136986,' Private',' HS-grad',' Separated',' Handlers-cleaners',' Unmarried',' White',' Female',0,0,0.397959,' Japan'
0.561644,' Private',' HS-grad',' Divorced',' Sales',' Unmarried',' White',' Female',0,0,0.397959,' United-States'
0.013699,' Private',' 11th',' Never-married',' Prof-specialty',' Other-relative',' White',' Male',0,0,0.020408,' United-States'
0.493151,' Private',' HS-grad',' Married-civ-spouse',' Other-service',' Husband',' Black',' Male',0.04386,0,0.295918,' United-States'
0.671233,' Private',' Some-college',' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',0,0,0.193878,' United-States'
0.054795,' ?',' Some-college',' Never-married',' ?',' Unmarried',' Other',' Female',0,0,0.397959,' United-States'
0.315068,' Private',' Bachelors',' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,0.5,' United-States'
0.082192,' Private',' 11th',' Never-married',' Farming-fishing',' Other-relative',' White',' Female',0,0,0.397959,' Puerto-Rico'
0.493151,' Private',' HS-grad',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',0,0,0.397959,' United-States'
0.410959,' Private',' Some-college',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.136986,' Self-emp-inc',' Bachelors',' Never-married',' Exec-managerial',' Own-child',' White',' Female',0,0,0.397959,' United-States'
0.178082,' Private',' 9th',' Married-civ-spouse',' Handlers-cleaners',' Other-relative',' White',' Male',0,0,0.397959,' Mexico'
0.123288,' Private',' HS-grad',' Never-married',' Craft-repair',' Other-relative',' White',' Male',0.02597,0,0.397959,' United-States'
0.123288,' Private',' Assoc-acdm',' Never-married',' Craft-repair',' Not-in-family',' White',' Male',0,0,0.397959,' United-States'
0.410959,' Federal-gov',' Assoc-acdm',' Married-civ-spouse',' Adm-clerical',' Husband',' Black',' Male',0,0,0.397959,' United-States'
0.273973,' Private',' Assoc-voc',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.342466,' Private',' Some-college',' Divorced',' Sales',' Unmarried',' White',' Male',0,0,0.397959,' United-States'
0.657534,' ?',' Prof-school',' Never-married',' ?',' Not-in-family',' White',' Male',0.251243,0,0.806122,' United-States'
0.054795,' Private',' Assoc-acdm',' Never-married',' Adm-clerical',' Not-in-family',' White',' Female',0,0,0.244898,' United-States'
0.808219,' Private',' 10th',' Widowed',' Sales',' Unmarried',' Black',' Female',0,0,0.112245,' United-States'
0.383562,' Private',' Some-college',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,0.479592,' United-States'
0.123288,' Private',' 5th-6th',' Never-married',' Farming-fishing',' Other-relative',' Black',' Male',0,0,0.397959,' Mexico'
0.260274,' Private',' HS-grad',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.041096,' Private',' Some-college',' Never-married',' Adm-clerical',' Own-child',' White',' Female',0,0,0.142857,' United-States'
0.438356,' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.232877,' Private',' HS-grad',' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,0.653061,' United-States'
0.123288,' Private',' 7th-8th',' Never-married',' Handlers-cleaners',' Unmarried',' White',' Male',0,0,0.397959,' Guatemala'
0.041096,' Private',' HS-grad',' Never-married',' Adm-clerical',' Own-child',' White',' Male',0,0,0.397959,' United-States'
0.232877,' Private',' 11th',' Married-civ-spouse',' Machine-op-inspct',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.657534,' Private',' HS-grad',' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',0,0,0.397959,' United-States'
0.30137,' Local-gov',' 12th',' Married-civ-spouse',' Tech-support',' Husband',' White',' Male',0,0,0.5,' United-States'
0.150685,' Private',' Some-college',' Never-married',' Adm-clerical',' Not-in-family',' White',' Female',0,0,0.397959,' United-States'
0.232877,' Private',' HS-grad',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.479452,' Self-emp-not-inc',' HS-grad',' Divorced',' Transport-moving',' Not-in-family',' White',' Male',0,0,0.653061,' United-States'
0.068493,' Private',' Some-college',' Divorced',' Sales',' Own-child',' White',' Female',0,0,0.479592,' Iran'
0.328767,' Private',' HS-grad',' Never-married',' Adm-clerical',' Not-in-family',' White',' Female',0,0,0.397959,' United-States'
0.191781,' Private',' Assoc-acdm',' Never-married',' Craft-repair',' Own-child',' Other',' Male',0,0,0.5,' United-States'
0.465753,' Private',' HS-grad',' Divorced',' Prof-specialty',' Not-in-family',' White',' Female',0,0,0.397959,' United-States'
0.136986,' Private',' 10th',' Married-civ-spouse',' Craft-repair',' Other-relative',' White',' Male',0,0,0.55102,' United-States'
0.561644,' Private',' HS-grad',' Widowed',' Adm-clerical',' Not-in-family',' White',' Female',0,0,0.397959,' United-States'
0.191781,' Private',' Bachelors',' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,0.469388,' United-States'
0.753425,' Private',' Doctorate',' Never-married',' Prof-specialty',' Not-in-family',' White',' Male',0,0,0.295918,' United-States'
0.136986,' Private',' Some-college',' Never-married',' Craft-repair',' Not-in-family',' Black',' Male',0,0,0.397959,' United-States'
0.068493,' Private',' Some-college',' Married-civ-spouse',' Exec-managerial',' Wife',' White',' Female',0,0,0.397959,' United-States'
0.013699,' Private',' HS-grad',' Never-married',' Other-service',' Own-child',' White',' Male',0,0,0.244898,' Canada'
0.068493,' Private',' Bachelors',' Never-married',' Prof-specialty',' Own-child',' White',' Female',0,0,0.397959,' United-States'
0.027397,' Private',' 12th',' Never-married',' Other-service',' Own-child',' White',' Male',0,0,0.244898,' United-States'
0.30137,' Private',' Bachelors',' Divorced',' Exec-managerial',' Not-in-family',' White',' Male',0,0,0.44898,' United-States'
0.506849,' Private',' Some-college',' Divorced',' Sales',' Unmarried',' White',' Female',0,0,0.479592,' United-States'
0.123288,' Private',' HS-grad',' Never-married',' Exec-managerial',' Not-in-family',' White',' Female',0,0,0.397959,' United-States'
0.246575,' ?',' Bachelors',' Married-civ-spouse',' ?',' Husband',' White',' Male',0,0,0.193878,' United-States'
0.136986,' ?',' HS-grad',' Married-civ-spouse',' ?',' Own-child',' White',' Female',0,0,0.142857,' United-States'
0.657534,' Private',' HS-grad',' Widowed',' Other-service',' Not-in-family',' White',' Female',0,0,0.142857,' United-States'
0.123288,' Private',' Some-college',' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,0.173469,' United-States'
0.191781,' Private',' Assoc-acdm',' Married-civ-spouse',' Adm-clerical',' Wife',' White',' Female',0,0.399449,0.397959,' United-States'
0.260274,' Private',' Some-college',' Married-civ-spouse',' Craft-repair',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.726027,' Private',' HS-grad',' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0.499082,0.397959,' United-States'
0.109589,' Private',' HS-grad',' Never-married',' Craft-repair',' Not-in-family',' White',' Female',0,0,0.397959,' United-States'
0.150685,' Private',' Bachelors',' Never-married',' Adm-clerical',' Not-in-family',' White',' Male',0,0,0.44898,' United-States'
0.273973,' Private',' 10th',' Never-married',' Machine-op-inspct',' Not-in-family',' White',' Male',0,0,0.653061,' United-States'
0.082192,' Private',' HS-grad',' Never-married',' Machine-op-inspct',' Other-relative',' Black',' Male',0,0,0.397959,' United-States'
0.205479,' Private',' 1st-4th',' Never-married',' Farming-fishing',' Not-in-family',' Other',' Male',0,0,0.5,' Mexico'
0.493151,' Private',' HS-grad',' Divorced',' Adm-clerical',' Not-in-family',' White',' Female',0,0,0.397959,' United-States'
0.027397,' Private',' 12th',' Never-married',' Handlers-cleaners',' Own-child',' Amer-Indian-Eskimo',' Male',0,0,0.193878,' United-States'
0.09589,' Private',' HS-grad',' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.191781,' Self-emp-not-inc',' Some-college',' Married-civ-spouse',' Sales',' Husband',' White',' Male',0,0,0.479592,' United-States'
0.493151,' Private',' Bachelors',' Married-civ-spouse',' Exec-managerial',' Husband',' White',' Male',0,0,0.397959,' Greece'
0.205479,' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0.554408,0.479592,' United-States'
0.136986,' Private',' Bachelors',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,0.397959,' United-States'
0.164384,' Private',' Some-college',' Married-civ-spouse',' Transport-moving',' Husband',' White',' Male',0,0,0.44898,' United-States'
0.60274,' Private',' HS-grad',' Divorced',' Other-service',' Not-in-family',' Black',' Female',0,0,0.397959,' United-States'
0.287671,' Private',' Masters',' Married-civ-spouse',' Prof-specialty',' Husband',' White',' Male',0,0,0.44898,' United-States'
0.616438,' Private',' HS-grad',' Married-civ-spouse',' Handlers-cleaners',' Husband',' White',' Male',0,0,0.244898,' United-States'
