@relation adult_ICA-out4

@attribute A numeric
@attribute B numeric
@attribute C numeric
@attribute D numeric
@attribute class {<=50K,>5<=50KK}

@data
-0.000282,-0.001397,-0.000225,0.000747,<=50K
-0.000007,-0.001958,0.000515,-0.001172,<=50K
0.000424,0.001916,-0.00055,0.001463,>5<=50KK
-0.001638,-0.008401,0.000465,-0.000586,<=50K
0.000377,-0.000197,0.001406,-0.00346,<=50K
0.000694,0.006054,-0.000809,0.001408,>5<=50KK
-0.000603,-0.001589,0.000452,-0.00161,<=50K
0.000534,0.001715,0.000902,-0.002641,<=50K
0.000095,0.001357,-0.000959,0.002579,<=50K
0.000227,0.003577,-0.002103,0.005609,<=50K
-0.001493,-0.005896,-0.00146,0.00435,<=50K
-0.000713,-0.001739,-0.002309,0.006514,<=50K
-0.006617,-0.028209,-0.004322,0.014512,<=50K
-0.000033,-0.002692,0.003121,-0.008633,<=50K
0.000597,0.001938,-0.000691,0.001808,<=50K
-0.000054,-0.000787,0.001493,-0.004215,>5<=50KK
-0.001812,-0.008451,-0.000528,0.00214,<=50K
-0.006597,-0.006796,-0.007905,0.015143,<=50K
-0.000139,-0.000473,-0.000312,0.001069,<=50K
0.001323,0.001072,0.005104,-0.013892,<=50K
0.00159,0.003953,0.003559,-0.009776,<=50K
-0.000358,-0.00077,-0.001975,0.005773,>5<=50KK
-0.001234,-0.007197,0.00097,-0.002161,<=50K
-0.000161,0.0018,-0.00167,0.003921,>5<=50KK
0.000909,0.004951,-0.000471,0.000807,<=50K
0.014661,0.053031,0.010527,-0.029843,<=50K
-0.000796,-0.004328,-0.000762,0.002435,<=50K
0.00066,0.003427,-0.000619,0.001391,<=50K
0.000659,0.004131,-0.001464,0.003592,<=50K
0.004357,0.014494,-0.002331,0.008315,<=50K
0.001193,0.005941,-0.000437,0.000493,>5<=50KK
0.006219,0.025447,0.003158,-0.010455,<=50K
-0.002825,-0.00955,-0.00441,0.01343,<=50K
0.000072,-0.009582,0.016401,-0.042878,<=50K
-0.000734,-0.004051,0.000803,-0.001901,<=50K
-0.007068,-0.03315,-0.001347,0.006636,<=50K
0.00057,0.00206,-0.000692,0.001847,<=50K
-0.000203,-0.000247,-0.001365,0.003819,<=50K
-0.001872,-0.008804,0.001788,-0.004682,<=50K
-0.000439,-0.001562,-0.00138,0.003956,<=50K
-0.000654,-0.005293,0.002615,-0.006988,>5<=50KK
0.0005,0.001353,0.000949,-0.002803,<=50K
0.000347,0.002977,-0.001378,0.00353,<=50K
-0.000141,0.001357,-0.002049,0.005375,>5<=50KK
-0.0002,0.000372,-0.00068,0.00177,<=50K
-0.000524,-0.00144,-0.000893,0.002502,<=50K
-0.001067,-0.005035,0.002561,-0.00669,<=50K
-0.001554,-0.009029,0.001528,-0.003492,<=50K
-0.00097,-0.018087,0.019501,-0.056696,<=50K
0.000036,0.001351,-0.000958,0.002491,>5<=50KK
-0.001426,-0.006037,0.001619,-0.003694,<=50K
-0.001577,-0.006612,0.002436,-0.006185,<=50K
0.000469,0.003312,-0.001096,0.002601,<=50K
0.00068,0.001367,0.002396,-0.006977,>5<=50KK
-0.000725,-0.005805,0.003566,-0.009208,>5<=50KK
0.001369,-0.001789,0.00933,-0.025418,<=50K
-0.000237,-0.001412,-0.000025,0.000121,<=50K
-0.000951,-0.004415,0.00065,-0.001761,<=50K
0.000079,0.001516,-0.002286,0.006104,<=50K
0.000246,-0.009389,0.01689,-0.042438,>5<=50KK
0.000302,0.001936,-0.001049,0.002599,<=50K
0.000017,0.001225,-0.000937,0.002461,>5<=50KK
0.000171,0.001718,-0.001409,0.003842,<=50K
0.001842,0.030029,-0.031092,0.085246,>5<=50KK
0.001779,0.009963,0.001219,-0.004878,<=50K
0.000189,-0.004361,0.007112,-0.019662,>5<=50KK
-0.000534,-0.003708,0.001855,-0.005084,>5<=50KK
0.000607,0.003365,-0.000211,0.000338,>5<=50KK
0.001057,0.022717,-0.027569,0.07621,>5<=50KK
-0.002206,-0.010474,0.000882,-0.001644,<=50K
-0.000371,-0.002018,-0.000145,0.000644,<=50K
0.000213,0.001925,-0.002426,0.006473,>5<=50KK
0.003373,0.014305,0.001244,-0.004485,<=50K
-0.000326,-0.003752,0.002228,-0.005469,<=50K
-0.018697,-0.089256,-0.010392,0.038642,<=50K
-0.013142,-0.052174,-0.009716,0.029723,<=50K
0.000352,0.002168,0.000804,-0.002615,>5<=50KK
0.001577,0.006995,-0.000132,-0.000217,<=50K
0.004535,0.008347,-0.002934,0.006409,<=50K
0.000496,0.002989,0.000436,-0.001665,>5<=50KK
0.001925,0.008429,0.000292,-0.001787,<=50K
0.001271,0.000746,0.006022,-0.016467,>5<=50KK
0.000565,0.001149,0.002109,-0.006117,<=50K
-0.006718,-0.030184,-0.004637,0.01589,<=50K
0.00001,-0.00032,0.00065,-0.001932,>5<=50KK
-0.000489,-0.000909,-0.000835,0.001965,<=50K
0.000086,0.000959,-0.00092,0.002437,>5<=50KK
0.001155,0.006703,-0.002623,0.00666,<=50K
0.000052,0.000624,-0.000221,0.000318,<=50K
-0.00504,-0.017987,-0.004008,0.011605,<=50K
0.000885,0.002777,0.002922,-0.008648,<=50K
-0.000451,-0.001065,0.000011,-0.000117,<=50K
0.000988,0.005559,-0.00098,0.002291,>5<=50KK
-0.000494,-0.000924,-0.000985,0.002755,>5<=50KK
0.00058,0.001159,0.002012,-0.005644,<=50K
-0.001069,-0.012136,0.011962,-0.032657,>5<=50KK
0.000168,0.002189,-0.000455,0.000808,<=50K
0.0007,0.00401,-0.000037,-0.000478,<=50K
0.000045,0.00128,-0.000697,0.001679,<=50K
-0.006948,-0.038764,-0.003247,0.015142,<=50K
-0.000927,-0.003332,-0.000895,0.002756,<=50K
0.000989,0.003917,0.000762,-0.002531,<=50K
0.000753,0.004313,-0.000366,0.000567,<=50K
0.000324,0.00253,-0.002175,0.005827,>5<=50KK
0.00046,0.004169,-0.000297,0.000387,<=50K
0.000173,-0.000417,0.000209,-0.000435,<=50K
0.000934,0.005147,-0.000479,0.000853,<=50K
0.000159,0.000164,0.000885,-0.002595,<=50K
-0.000212,0.001902,-0.002951,0.007522,<=50K
0.00015,0.000952,-0.000386,0.000922,<=50K
-0.000138,0.000213,-0.000772,0.002217,<=50K
-0.001132,-0.006251,0.001164,-0.002801,<=50K
0.001453,0.011704,-0.002869,0.008622,<=50K
-0.00047,-0.001379,-0.001081,0.002999,<=50K
-0.00692,-0.032122,-0.003452,0.012515,<=50K
0.000022,0.000523,-0.001074,0.002926,<=50K
0.002477,0.010913,0.001185,-0.004151,<=50K
-0.000455,-0.00194,-0.000438,0.001412,>5<=50KK
-0.001063,-0.005513,-0.000085,0.000699,<=50K
0.000878,0.025022,-0.031196,0.085999,<=50K
-0.001065,-0.005694,0.000286,-0.000115,<=50K
0.00022,0.001498,-0.00119,0.003139,<=50K
0.000801,0.015152,-0.003395,0.008066,<=50K
0.000586,0.003367,-0.000383,0.000581,<=50K
0.000947,-0.000342,0.003617,-0.009704,<=50K
-0.000935,-0.007103,0.003066,-0.007985,>5<=50KK
0.001342,0.00678,0.000768,-0.002941,<=50K
-0.000927,-0.00298,-0.002077,0.005824,<=50K
0.000277,0.000805,0.001208,-0.003441,<=50K
0.000633,0.003045,-0.000804,0.002357,<=50K
0.000598,-0.001071,0.004636,-0.012475,<=50K
0.000172,-0.000065,0.000051,-0.000073,<=50K
0.000935,0.005137,-0.000254,0.000183,<=50K
0.000627,0.003492,-0.000232,0.000369,<=50K
0.000839,0.006085,-0.000351,0.000104,>5<=50KK
-0.001048,-0.003662,-0.000742,0.002366,<=50K
-0.001126,-0.00717,0.002117,-0.005247,<=50K
0.00017,0.000686,-0.000063,0.000011,<=50K
0.000509,0.001611,0.001152,-0.003484,<=50K
0.033318,0.158975,0.016207,-0.061606,<=50K
0.000043,-0.000595,0.001009,-0.002778,<=50K
-0.001127,-0.003999,-0.001092,0.003046,<=50K
0.000433,0.004348,-0.000529,0.000996,<=50K
0.000881,0.00413,-0.000944,0.002147,<=50K
0.002597,0.013641,-0.002692,0.00717,<=50K
0.000249,0.000639,-0.000187,0.000597,>5<=50KK
0.000104,0.000731,-0.000594,0.001628,<=50K
-0.000162,-0.000065,-0.00043,0.001186,>5<=50KK
0.001265,0.001785,0.004869,-0.013353,<=50K
0.000086,0.001958,-0.002488,0.006835,<=50K
0.000539,0.005077,-0.000418,0.000332,<=50K
0.000444,0.00292,-0.001107,0.002716,>5<=50KK
-0.000295,-0.003899,0.004444,-0.01235,>5<=50KK
0.00234,0.005949,0.005074,-0.014234,<=50K
0.000641,0.002803,0.00036,-0.001216,>5<=50KK
-0.000195,-0.001899,0.001063,-0.002862,<=50K
0.000384,0.000661,0.000082,-0.000443,<=50K
-0.000495,-0.002788,0.000002,0.000411,<=50K
0.000448,-0.001875,0.004351,-0.011386,<=50K
0.002697,0.009364,0.004417,-0.012982,<=50K
-0.000039,0.00241,-0.004333,0.011936,>5<=50KK
0.001007,0.004864,-0.000559,0.001106,>5<=50KK
0.000333,0.001203,0.001358,-0.004129,<=50K
0.001138,0.005807,-0.00125,0.002664,<=50K
-0.000415,-0.001936,-0.001084,0.0033,>5<=50KK
-0.000403,-0.000336,-0.001127,0.003065,>5<=50KK
0.000745,0.003472,0.00108,-0.003385,<=50K
0.000124,0.000857,-0.000615,0.001658,>5<=50KK
-0.000161,-0.002195,0.000871,-0.002191,>5<=50KK
0.000764,0.003821,-0.000558,0.000938,<=50K
0.000747,0.004655,-0.001858,0.004839,<=50K
0.001252,0.002924,0.004513,-0.012429,<=50K
0.00267,0.012375,0.001106,-0.004465,<=50K
-0.000086,-0.001266,0.001113,-0.002636,<=50K
0.001772,0.006735,0.001027,-0.003437,<=50K
0.001358,0.006876,0.000721,-0.002806,<=50K
0.002419,0.054455,-0.066195,0.179142,>5<=50KK
-0.000984,-0.006469,0.002136,-0.005175,<=50K
0.001927,-0.001493,0.002606,-0.003925,<=50K
0.000186,0.002222,-0.002324,0.005995,>5<=50KK
-0.000022,-0.000033,-0.000491,0.001425,>5<=50KK
-0.000191,-0.003899,0.004931,-0.013746,>5<=50KK
-0.000743,-0.002154,-0.001242,0.003601,<=50K
-0.000475,-0.004175,0.003127,-0.008156,>5<=50KK
0.001053,0.008325,-0.001643,0.003637,<=50K
-0.002351,-0.032984,0.033513,-0.090046,>5<=50KK
0.000817,0.004411,-0.000204,0.000115,<=50K
0.000478,0.002745,-0.000194,0.000291,>5<=50KK
0.000593,0.002476,0.000337,-0.001015,>5<=50KK
-0.000289,-0.000895,-0.000524,0.001594,<=50K
0.000502,0.003299,-0.001169,0.002808,<=50K
-0.000281,-0.001531,0.001537,-0.004618,<=50K
0.000187,0.002437,-0.002606,0.006995,<=50K
0.000753,0.004302,-0.000442,0.000845,>5<=50KK
0.000426,-0.001269,0.004189,-0.011724,>5<=50KK
0.000125,0.001212,-0.000961,0.002498,<=50K
-0.000237,-0.002003,0.001004,-0.002478,<=50K
0.002286,0.007384,0.005221,-0.014783,<=50K
0.000521,0.001748,0.005596,-0.016374,>5<=50KK
-0.006561,-0.027669,-0.004677,0.015323,>5<=50KK
-0.000202,-0.000338,-0.000693,0.002009,<=50K
0.000617,0.002312,0.00169,-0.005108,<=50K
-0.004653,-0.025706,0.002032,-0.00272,<=50K
0.000602,0.002942,-0.000749,0.001374,<=50K
-0.000081,0.000286,-0.001147,0.003128,>5<=50KK
0.000917,0.008379,0.000093,-0.000967,<=50K
-0.000182,0.000486,-0.00164,0.004395,<=50K
-0.000015,-0.000747,0.002807,-0.008119,<=50K
0.001192,0.005572,-0.001535,0.004076,<=50K
-0.001782,-0.010744,0.002471,-0.005771,<=50K
-0.000778,-0.005363,0.00289,-0.007788,<=50K
-0.000063,-0.002531,0.002722,-0.007338,<=50K
0.000194,0.00058,0.000227,-0.000619,<=50K
0.000201,0.001453,-0.000303,0.00042,>5<=50KK
-0.000196,-0.001812,0.002932,-0.008456,>5<=50KK
-0.000763,-0.004826,0.000086,0.000198,<=50K
-0.001479,-0.028293,0.033228,-0.089467,>5<=50KK
0.000205,-0.00193,0.002427,-0.006357,<=50K
-0.000572,-0.00361,0.000461,-0.000882,<=50K
-0.000122,0.003594,-0.006244,0.017296,>5<=50KK
0,0.000553,-0.00188,0.005037,<=50K
0.001599,0.00434,0.003875,-0.0109,>5<=50KK
0.000708,0.002373,0.001331,-0.003962,<=50K
-0.00022,-0.001165,0.001504,-0.004066,>5<=50KK
0.000818,0.006146,0.000801,-0.003024,<=50K
0.00035,0.001573,0.000225,-0.00073,<=50K
0.001242,0.002051,0.004496,-0.012349,<=50K
0.001476,0.004384,0.003012,-0.008578,<=50K
0.000818,0.006349,-0.000662,0.001404,<=50K
-0.000401,-0.001865,-0.000262,0.000658,<=50K
0.000135,0.002465,-0.002024,0.005402,>5<=50KK
-0.000158,0.000087,-0.000751,0.002186,<=50K
-0.000755,-0.006591,0.003258,-0.008273,<=50K
0.000163,0.001747,-0.001301,0.003155,<=50K
0.000077,0.000983,-0.000189,0.000364,<=50K
0.000673,0.004771,-0.002774,0.007208,>5<=50KK
-0.000148,-0.001788,0.001996,-0.00565,<=50K
0.000603,0.003492,-0.000144,0.00031,<=50K
0.001542,0.008547,-0.002014,0.004741,<=50K
-0.000032,0.001206,-0.00204,0.005459,>5<=50KK
0.001484,0.007347,0.000799,-0.003167,<=50K
-0.000776,-0.004062,0.000437,-0.000939,<=50K
-0.000915,-0.003056,0.000277,-0.000604,<=50K
-0.001237,-0.005024,-0.000453,0.001682,<=50K
0.000596,0.003149,-0.000233,0.000379,<=50K
-0.000035,0.000248,-0.001416,0.003875,<=50K
0.000111,0.000997,-0.000562,0.001482,<=50K
-0.000509,-0.002157,-0.000002,0.00021,>5<=50KK
0.000984,0.005935,-0.001853,0.004483,<=50K
0.000542,0.003803,-0.000437,0.000735,<=50K
-0.001081,-0.003786,0.000179,-0.000663,<=50K
0.00036,-0.000594,0.003358,-0.009673,>5<=50KK
0.000689,0.002202,-0.000641,0.00176,>5<=50KK
0.001023,0.004923,0.000034,-0.000554,<=50K
0.000728,0.003869,-0.000692,0.001498,<=50K
-0.006367,-0.034237,0.000093,0.003622,<=50K
-0.000558,-0.003896,0.00037,-0.000791,<=50K
