@relation adult-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RandomProjection-N4-R42-DGaussian

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute class {' <=50K',' >50K'}

@data
-3.091403,1.657268,-0.278111,2.693656,' >50K'
-3.281123,-1.937393,1.589132,-2.093705,' >50K'
2.578924,3.503931,-0.792703,0.915845,' <=50K'
1.082172,2.977733,-0.112264,2.97114,' >50K'
0.545047,4.612047,-0.693226,3.152694,' <=50K'
-0.71431,5.076036,2.977373,0.858761,' <=50K'
-0.158405,0.137654,0.102453,2.68741,' >50K'
0.903671,4.166255,2.585269,1.552162,' <=50K'
4.688313,4.009437,-2.776635,2.833008,' >50K'
1.370838,7.279809,1.298469,1.649146,' <=50K'
-0.311859,4.501107,1.145081,2.777474,' >50K'
1.797814,4.695698,-0.966264,0.309146,' <=50K'
-1.215334,0.811168,-0.61051,2.437848,' <=50K'
4.87063,3.997966,-2.775135,3.094312,' <=50K'
0.90844,-0.877525,-4.055901,2.265237,' <=50K'
1.550416,5.373545,-1.023371,0.635221,' <=50K'
-1.373627,5.054005,-0.742277,1.706795,' <=50K'
2.955944,-3.987219,-1.287593,1.713086,' >50K'
-1.077028,2.735346,-0.108933,1.764347,' <=50K'
4.140414,3.229746,-0.535526,2.594701,' <=50K'
-1.837038,5.139963,-0.816145,1.453472,' <=50K'
-0.774262,6.741559,-0.388743,3.108394,' <=50K'
-2.200234,-0.497905,-0.720553,0.593528,' >50K'
0.810762,7.237653,0.426113,2.763557,' <=50K'
-4.38232,6.239676,2.699667,-0.639201,' <=50K'
1.47224,7.805567,-1.481484,3.143845,' <=50K'
-3.193307,-3.127439,-1.331316,0.619344,' >50K'
1.18449,6.111357,-2.197221,-0.109263,' <=50K'
-0.578479,6.050661,-1.923968,2.750553,' <=50K'
0.663619,3.234398,-0.558312,2.126837,' <=50K'
2.365794,5.285887,-0.486592,3.484,' <=50K'
-1.433858,0.854988,-0.649396,2.342163,' <=50K'
-1.447233,-0.67225,-0.557763,0.754374,' <=50K'
0.828847,-3.643134,-0.646109,2.127936,' <=50K'
0.6301,0.671017,0.32857,2.465639,' >50K'
1.580975,5.698391,0.878883,3.859057,' <=50K'
-1.96229,5.979396,-3.638085,2.012861,' <=50K'
3.344079,5.959204,-0.421134,1.357986,' <=50K'
-3.616759,-1.141985,-0.816103,0.302622,' >50K'
-4.14042,2.85977,-1.780653,3.052922,' >50K'
-1.199216,2.648217,1.12124,3.921504,' <=50K'
-1.115551,5.817334,0.701288,2.726811,' <=50K'
-1.996989,-1.014935,-0.610302,1.115521,' <=50K'
1.878132,5.300921,-0.859194,2.194042,' <=50K'
-2.695645,1.756759,-0.241441,2.884271,' >50K'
2.902514,3.041538,2.037507,1.185988,' <=50K'
1.574517,1.745711,1.084076,1.421578,' <=50K'
-1.458417,8.49565,2.380627,2.132705,' <=50K'
-2.859384,0.416625,0.528735,1.818715,' >50K'
4.739658,3.120554,0.725714,3.749428,' <=50K'
-0.294505,3.143904,-1.429796,0.851293,' <=50K'
-1.768003,3.139296,0.587534,1.710978,' <=50K'
0.966759,-1.589037,0.475273,-1.435735,' >50K'
-1.777229,-1.840992,0.414881,3.451497,' >50K'
1.346889,4.467353,-1.782389,5.742781,' <=50K'
-0.424886,3.043259,-2.522134,2.645196,' <=50K'
2.468747,6.2699,-2.318047,0.513657,' <=50K'
1.861113,0.541328,-2.974697,1.931506,' >50K'
1.231804,4.353916,-1.671913,0.670021,' <=50K'
1.974062,4.940288,-3.783079,1.65707,' <=50K'
0.586691,4.111239,-1.17254,0.903157,' <=50K'
-1.235439,1.287111,2.37055,2.793247,' <=50K'
3.812559,7.176431,-0.015437,0.445885,' <=50K'
-3.831372,2.430415,0.194457,2.475759,' <=50K'
2.515314,11.041054,-0.833218,2.124626,' >50K'
0.055679,4.155862,0.605335,-0.264304,' <=50K'
0.75622,5.401034,0.187962,2.596916,' <=50K'
-2.353551,5.765206,-1.254318,1.645256,' <=50K'
-1.216443,-0.005098,-1.034114,0.882011,' <=50K'
1.254122,4.415997,-1.750025,1.161201,' <=50K'
-4.318293,-0.495402,-1.784184,2.367103,' >50K'
-1.703806,0.80454,-0.779055,2.154251,' <=50K'
1.733735,0.231786,-0.699979,0.768928,' <=50K'
1.897957,8.638394,0.33024,3.786471,' <=50K'
-0.981254,0.761274,-1.315216,1.76329,' <=50K'
-1.394445,1.387146,-0.113986,0.113713,' >50K'
-1.405468,4.89927,-0.94809,2.080114,' <=50K'
0.501388,-1.781212,2.131281,2.393942,' <=50K'
-0.226918,3.84972,-2.189043,-0.761314,' <=50K'
1.376101,5.713647,-1.543092,4.606758,' <=50K'
1.032016,6.498078,-0.798642,4.205185,' <=50K'
-0.406367,5.790321,-0.835662,2.47136,' <=50K'
1.370362,9.109274,0.01114,1.925495,' <=50K'
-5.182172,1.112241,1.280692,3.998498,' <=50K'
-1.04174,7.303474,-1.389599,-1.066685,' <=50K'
-2.73135,2.197076,0.132306,1.069887,' <=50K'
-0.623863,2.129092,0.613199,2.334652,' >50K'
-2.091337,0.996373,0.518744,-1.380235,' <=50K'
2.271355,4.682901,-3.833878,3.738842,' <=50K'
1.637369,-3.348272,-3.639422,-0.831218,' <=50K'
1.245047,-0.087559,-0.116902,0.742898,' <=50K'
0.737676,1.164304,-0.314853,0.363393,' <=50K'
-2.460918,-0.326061,0.960277,2.014604,' <=50K'
4.805307,5.63368,-4.056908,4.253776,' <=50K'
-0.48204,-2.71067,0.314332,1.617594,' <=50K'
0.289127,-0.667006,-2.439692,1.989632,' <=50K'
-1.023273,7.784246,-0.14863,4.987249,' <=50K'
-2.22159,7.897976,0.626287,1.580453,' <=50K'
2.634169,4.739074,-1.892529,4.405748,' <=50K'
0.971737,7.935993,-0.333481,1.78646,' >50K'
-1.020917,3.981839,0.96785,3.22327,' <=50K'
-0.601083,5.965744,3.403144,-2.662979,' <=50K'
-1.18131,-0.802585,-0.415466,0.313792,' <=50K'
-1.58824,2.353491,0.403341,2.136701,' >50K'
-0.809457,-0.312663,-1.125408,0.837859,' >50K'
1.914727,6.352075,-2.475207,4.529433,' <=50K'
1.60406,6.181923,0.046285,2.760782,' <=50K'
-1.700583,-0.506765,-0.817209,2.97828,' >50K'
-0.998815,2.697012,-0.06708,1.634764,' <=50K'
-0.749815,-2.974921,-2.142233,3.625985,' >50K'
0.208679,3.757277,2.791031,2.481964,' <=50K'
-1.214759,3.000027,-0.57163,1.193744,' >50K'
1.606544,6.902198,-1.506797,2.512452,' <=50K'
1.935279,7.242067,-0.898654,4.206805,' <=50K'
-1.311414,0.833919,-0.631905,2.420982,' >50K'
0.838981,6.309692,1.376559,0.078178,' <=50K'
-0.434259,3.013777,-2.485123,2.414251,' <=50K'
1.875639,4.663827,-1.75043,2.601521,' <=50K'
-1.692829,0.437658,0.038593,2.04117,' <=50K'
-1.09812,6.865914,-4.991242,4.38944,' <=50K'
-1.122791,6.199819,-4.123496,1.985823,' <=50K'
-1.094134,-0.072167,-0.60921,-3.104743,' <=50K'
-2.896141,4.313077,0.866779,-1.149684,' <=50K'
0.043721,7.791695,2.26601,3.460147,' <=50K'
2.667509,6.0158,-1.986477,2.694747,' <=50K'
0.046127,5.121559,-4.235769,1.666782,' <=50K'
3.037127,4.838726,-1.790749,0.104341,' <=50K'
-0.893504,0.583934,0.578119,2.03941,' >50K'
-1.541088,-0.62625,-0.607986,0.909874,' <=50K'
-3.903902,3.355001,2.464213,2.795492,' <=50K'
1.002908,6.664621,-0.548566,1.059395,' <=50K'
5.42493,5.506731,-3.590276,2.002319,' <=50K'
-0.03245,0.965177,-0.656108,2.765141,' >50K'
1.971784,1.687303,1.128554,1.749278,' <=50K'
-0.439546,0.688584,-2.970197,2.029645,' >50K'
-1.850104,-0.300401,0.493729,2.561266,' <=50K'
1.154214,-0.175517,-3.19795,3.744081,' <=50K'
2.689582,5.45844,1.38736,-1.066502,' <=50K'
0.992112,3.073396,-0.382533,1.582589,' <=50K'
2.193947,4.055273,0.758061,6.462769,' <=50K'
-2.191543,-0.171997,0.359052,2.84528,' <=50K'
0.287632,3.599562,-0.813309,4.865207,' <=50K'
-0.18676,4.340699,0.656652,0.597138,' <=50K'
3.620293,3.239875,1.248746,1.765698,' <=50K'
-0.508935,4.116479,-1.309297,5.095876,' <=50K'
-2.494952,0.88516,0.173223,1.699251,' >50K'
-0.525415,7.947938,0.449586,1.09265,' <=50K'
-2.836398,2.297241,0.016058,1.596034,' <=50K'
-1.349829,6.226806,1.078415,0.912092,' <=50K'
-3.920491,-0.057694,-1.590343,1.927271,' >50K'
-0.685965,2.543677,0.100328,1.116432,' <=50K'
4.757839,4.290994,0.125923,1.851308,' <=50K'
2.096479,0.640492,-0.03181,3.244211,' <=50K'
0.873821,0.840597,1.45619,0.949967,' >50K'
-1.428402,4.501381,-3.04637,6.153753,' <=50K'
-0.465786,5.936506,-4.191938,4.703989,' <=50K'
-1.314436,2.733092,1.131138,3.589695,' <=50K'
0.923309,5.520573,-3.279132,2.199783,' <=50K'
0.460574,5.89025,-1.530649,2.008899,' <=50K'
2.909633,2.287757,-0.030148,2.132411,' >50K'
-3.206347,2.367947,-1.298311,1.292347,' >50K'
1.844282,6.772699,1.181137,0.674817,' <=50K'
1.643106,4.310516,0.38095,1.911933,' <=50K'
-1.162574,-1.141152,0.772025,1.48272,' >50K'
2.117178,3.628281,0.960647,1.613725,' <=50K'
1.651271,6.096165,-2.622992,3.859882,' <=50K'
2.449125,10.065294,1.755524,1.29604,' <=50K'
0.043572,5.338394,-1.48696,1.861856,' <=50K'
2.05261,7.691256,-3.625853,3.893586,' <=50K'
-1.738845,5.91856,-3.578555,1.99476,' <=50K'
-1.405269,0.87992,-0.682128,2.576481,' >50K'
1.786029,5.107651,0.922638,0.545348,' <=50K'
1.24404,5.857387,-0.578599,1.118262,' <=50K'
-1.1236,2.994291,-0.570879,1.324396,' >50K'
-0.737099,2.764842,0.017937,1.343249,' >50K'
-1.212027,2.310932,-1.538681,1.903841,' <=50K'
0.820552,5.281783,1.828742,1.814747,' <=50K'
-6.61263,2.692945,0.974128,1.750585,' <=50K'
2.107878,6.921846,1.911558,2.850294,' <=50K'
-0.217083,2.990089,-2.470973,2.653012,' <=50K'
3.379777,-1.375989,-2.552739,3.707102,' <=50K'
1.211704,2.4459,1.542941,1.138319,' >50K'
2.724051,6.427821,2.298552,0.427215,' <=50K'
-1.596725,5.454293,1.448018,0.071077,' <=50K'
2.770022,4.160693,-0.299349,1.10715,' <=50K'
-4.219093,6.667971,2.38895,-0.974346,' <=50K'
0.525329,4.695552,2.937456,-0.587219,' <=50K'
-2.340173,-0.183445,-3.473097,3.596676,' <=50K'
0.651937,4.814874,-2.30768,2.224112,' <=50K'
0.952089,-0.675848,0.571423,3.833763,' <=50K'
-1.170631,0.764919,-0.556572,2.187733,' <=50K'
1.595529,8.230852,-1.387878,2.570548,' <=50K'
-2.582691,7.133211,-0.471288,2.051721,' <=50K'
-0.491025,3.010943,-1.045403,4.720178,' <=50K'
-1.026866,-0.657839,-0.41787,0.37606,' >50K'
-4.326139,-0.758325,-0.414135,3.004766,' <=50K'
-0.746991,3.108109,-0.746887,1.877177,' <=50K'
-2.946122,1.765105,-0.851061,1.953901,' >50K'
-4.705689,-0.925094,-0.578296,2.944567,' >50K'
-0.579767,1.874884,0.055306,0.933537,' >50K'
-2.710283,-0.451259,-1.188903,1.365826,' <=50K'
-2.668002,-0.226877,1.41538,5.018749,' <=50K'
-6.296754,5.610349,0.709066,2.107069,' <=50K'
-1.277282,-0.274307,0.659015,1.417401,' <=50K'
-0.935852,3.309439,-2.135182,2.783058,' >50K'
0.026084,-1.459947,-0.3183,1.643703,' >50K'
-0.243715,5.472573,-1.123366,0.764164,' <=50K'
-0.607752,2.505344,0.14218,0.986849,' <=50K'
-1.326749,1.57515,0.505329,2.196596,' <=50K'
0.698943,-0.639524,-0.331219,1.05895,' <=50K'
-0.940698,-1.561652,0.48733,-1.708011,' >50K'
1.890148,3.805343,1.653141,-3.1871,' <=50K'
0.586752,0.965966,0.871395,-0.266709,' <=50K'
4.084475,0.154376,-4.111299,4.067211,' >50K'
1.625141,4.051378,2.428771,6.093149,' <=50K'
1.397062,2.165888,-2.354143,-2.375449,' <=50K'
-2.416042,-0.180865,-1.638131,2.843219,' <=50K'
-4.502262,0.4248,-0.340407,1.699852,' <=50K'
-1.055296,8.060366,-2.42429,3.73646,' <=50K'
0.710546,3.211398,-0.533201,2.049088,' <=50K'
0.36011,6.936821,0.498721,1.196594,' <=50K'
-4.708236,-0.64407,-0.528542,3.109667,' >50K'
1.677022,6.451007,-0.774261,2.413495,' <=50K'
