@relation adult-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DGaussian

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {' <=50K',' >50K'}

@data
2.030125,4.179245,0.516003,1.693246,1.800328,-1.585063,-3.540279,-2.004678,2.850478,-4.018646,' <=50K'
3.363904,3.138026,0.699673,-1.876456,1.099561,-3.370058,-1.066299,-3.420655,2.606792,-1.329843,' <=50K'
-0.88252,4.154595,1.953609,-0.873077,2.457659,-2.087321,-1.571001,-3.200441,1.555379,-2.700766,' <=50K'
-3.575499,7.534608,0.854536,2.424033,0.525366,-1.34037,-1.327667,-1.926956,2.946421,-4.638691,' <=50K'
-2.320011,4.613402,-0.376759,1.492066,-0.181209,-4.925318,1.036909,-3.38661,3.168033,-3.981964,' <=50K'
-2.20314,-0.224728,0.42489,2.441969,-0.902098,3.640029,-1.787077,1.180198,-1.635475,-0.565653,' <=50K'
-0.787435,2.199526,0.537678,2.535238,-1.348254,4.916791,-2.13727,-0.354701,-0.579942,-1.900122,' <=50K'
-4.15378,0.037175,-1.691163,2.172944,-2.785038,1.933173,-1.723471,-0.079103,1.854152,-5.216899,' <=50K'
-1.967839,2.479082,-0.423785,1.344797,-0.153267,3.184023,-1.087636,0.726437,-4.563145,-5.404443,' <=50K'
-3.561325,7.781008,0.602307,2.27056,2.327627,-2.30045,0.67924,-4.191443,-0.215255,-2.991703,' <=50K'
-1.313284,5.734584,0.505036,1.654555,1.361651,-2.945668,-1.368291,-2.187582,4.432815,-6.179174,' <=50K'
4.723822,3.951661,-2.291524,5.370613,-0.0489,1.731899,-2.108928,-0.615782,-2.065013,4.992531,' <=50K'
1.055009,5.657604,-1.632573,4.830732,1.190469,-0.837316,-2.620045,0.079987,0.168956,0.810034,' <=50K'
-1.9899,4.281779,2.539829,4.233384,2.495725,-3.008873,0.385661,-1.847257,3.82323,-1.825419,' <=50K'
-1.744044,5.745541,-1.291071,2.386044,0.320789,0.817404,-1.834114,-3.536499,-1.130496,0.895228,' <=50K'
0.753127,5.514794,0.033306,0.919867,2.027808,-4.822882,1.494639,2.969971,1.06076,-6.426475,' <=50K'
-1.738603,-1.154528,-1.060566,0.619359,-1.263474,2.970091,-2.774803,-0.537249,-1.759631,-1.181005,' >50K'
1.06664,-0.731195,-2.393023,1.466838,-0.144782,0.545476,-0.730279,-3.343084,-1.48089,-5.649822,' >50K'
0.632334,3.249731,-0.575053,2.178671,-0.014548,-3.220127,-0.839226,-3.227934,1.619011,-1.553212,' <=50K'
3.895229,4.558035,-2.616685,-1.844508,0.95517,-1.907345,-3.082669,7.932312,-1.4481,-0.502357,' <=50K'
-1.856164,-0.496164,-0.746567,1.25584,-1.612904,1.536598,-2.297529,-1.409658,1.368377,-6.006088,' <=50K'
-3.84299,5.597417,-2.034347,3.12565,-0.467434,-3.488987,-0.562903,-0.818256,3.698496,-3.785473,' <=50K'
1.063373,3.582727,-1.170968,2.194581,0.241667,-2.496172,-1.636701,-4.13616,0.288937,0.675517,' <=50K'
1.098714,-0.751518,-0.4955,2.050767,0.485561,-1.303105,0.055238,-0.668732,-0.139456,-5.558892,' <=50K'
-3.230553,5.761065,0.528905,0.165642,2.151804,-1.212151,-0.205604,-5.035763,1.666874,-3.548498,' <=50K'
-1.823423,0.596366,-0.083445,1.944665,0.696048,1.141259,0.002283,-1.31152,-1.110109,-2.87014,' >50K'
4.623411,4.591595,3.612162,3.42426,3.091385,-3.859531,1.169271,-2.725807,-1.556921,-1.49978,' <=50K'
0.044196,-0.375413,-2.214891,3.241459,-0.981452,3.577359,1.44183,-0.679424,-2.790664,-1.805006,' <=50K'
-2.668272,-0.698857,-0.826462,1.826847,-3.177154,-0.436725,-2.360055,-0.387698,1.626435,-4.511868,' >50K'
1.21226,6.497783,-1.331801,1.826611,1.057986,-0.021543,-2.782457,-0.698805,0.20166,-1.7273,' <=50K'
-0.018859,8.282865,-0.153949,1.265129,0.767211,-2.558158,1.11792,-2.115923,0.866405,-4.006873,' <=50K'
-1.20592,3.272472,0.768585,0.991979,-2.248916,3.042522,1.152168,2.874086,-2.879412,-6.804806,' <=50K'
0.565031,6.298545,0.164596,-0.151751,0.128003,-2.300636,-0.020508,4.494062,-1.005568,-4.210008,' <=50K'
-2.517476,0.697855,-0.664094,1.839389,-0.529987,1.314155,-1.689007,0.913878,0.542716,-3.449374,' <=50K'
1.485611,2.673638,-1.138971,3.959948,-2.069567,0.063157,-1.446409,-0.832946,-3.075945,-1.939799,' <=50K'
-1.524073,3.109946,-1.482964,3.219513,0.081289,1.928724,-2.553445,-1.919268,-0.49734,-5.546823,' <=50K'
-6.730847,-0.195601,0.259768,0.136593,-2.5267,2.825159,0.104305,0.396338,0.718479,-0.189093,' <=50K'
-0.029676,5.875193,-0.662748,1.133141,1.976919,-0.751601,0.325379,-3.392088,1.426662,-1.638283,' <=50K'
1.62257,1.059498,0.71944,2.935546,0.631181,0.324966,-0.351187,-1.535176,-2.057979,-3.377429,' >50K'
4.288379,-0.365376,0.576945,1.134288,2.81962,-2.085251,-1.250275,-0.477823,1.456866,-1.291348,' <=50K'
-3.464927,-2.286104,-1.537034,-0.157304,-2.518747,3.405668,-2.1958,2.016111,1.061087,-2.542244,' <=50K'
-1.235366,3.204126,0.295345,1.364422,-2.530494,1.193907,-1.028092,1.882742,0.066271,-6.522429,' <=50K'
0.98443,3.989317,-1.049762,0.772339,2.372035,-2.090787,1.490573,-2.098259,2.611777,-5.149214,' <=50K'
0.035077,-1.101352,-1.731058,1.574854,-0.933045,2.788349,-1.315605,0.88659,1.188596,-5.291172,' <=50K'
-2.765068,-1.641234,0.251416,2.525356,0.554821,0.65512,-1.662848,1.657371,-1.975401,-2.60304,' >50K'
0.101089,6.01655,0.423054,2.401749,0.945693,0.175255,-0.976389,-3.670798,-0.799525,-0.398563,' <=50K'
-1.516017,0.774556,0.729882,-0.825019,-1.024683,1.437564,-2.223627,-0.433505,1.454235,-6.038055,' >50K'
-0.621152,3.569065,0.206902,1.034876,-1.943888,3.70521,0.165838,1.963022,-4.258428,-4.668539,' <=50K'
-1.97242,-0.437836,-1.038693,3.07064,-3.049502,0.514486,-4.83786,-0.709252,-0.09202,-3.165641,' <=50K'
-1.260067,5.778318,1.252602,3.482424,0.623337,-3.494543,-3.632684,-2.870969,3.389228,-2.147225,' <=50K'
-1.225049,5.871002,0.642695,2.908227,0.820034,-4.407208,2.043413,-1.752453,2.589185,-3.769083,' <=50K'
0.941163,-0.011637,-0.189457,0.718216,-0.667748,-0.714109,-2.398745,5.986655,-0.571331,-7.307994,' <=50K'
0.458912,6.02459,3.234679,-1.78777,0.025659,0.904755,0.141888,-4.357447,0.635608,2.759808,' <=50K'
1.833389,0.212151,-0.682675,0.815084,-0.265096,-0.173953,-3.762785,5.069916,-2.048228,-5.356652,' >50K'
-5.293522,1.581416,1.123722,0.908904,-0.40948,3.468311,-2.020484,0.320075,-0.111994,-3.29723,' <=50K'
1.412788,5.822383,-0.002142,-2.383834,-0.784401,1.553095,-0.245004,-0.208168,0.793994,2.575127,' <=50K'
-4.719291,0.283443,-0.273224,-0.563206,-0.326124,2.331376,-4.030661,-1.111593,1.536554,-1.730033,' <=50K'
2.003747,4.446302,0.563602,3.24428,1.158381,-2.897074,-0.032775,-1.59186,1.007471,-1.452215,' <=50K'
0.140755,8.532845,-0.768159,4.644347,1.656956,0.521378,-2.312433,-0.880456,0.041002,-0.706677,' <=50K'
0.929443,1.446745,1.223121,-2.053111,2.273652,-4.458836,0.889406,-0.287087,5.301083,-1.690434,' <=50K'
1.852114,4.63675,2.726067,2.422341,0.667601,-2.713531,-0.521062,-0.967272,-3.843759,-1.895537,' <=50K'
2.755337,6.412488,2.315293,0.375382,2.449096,0.073932,-1.628697,-4.143401,-0.599396,-1.172009,' <=50K'
3.84871,5.387225,-1.619768,3.054898,1.223779,1.002347,-2.148023,-3.251533,-1.963086,1.987289,' <=50K'
-0.609861,6.244868,-1.307622,3.512818,0.992205,1.258509,-3.284865,-1.163634,0.285614,-0.708122,' >50K'
-0.777668,6.030929,-0.05293,1.602836,1.668814,-2.286038,-2.272089,-3.093965,3.08039,-4.017305,' <=50K'
-1.272941,3.256641,0.792758,0.750914,-2.222886,3.008838,1.293564,2.885385,-2.828897,-6.775059,' <=50K'
-2.044733,0.75312,-0.380758,0.388145,-0.806984,2.905081,1.410449,2.871394,-1.550166,-6.855137,' >50K'
-0.799535,4.621276,0.700733,-1.912626,-1.604896,-0.720957,-3.027641,-1.359589,-0.453312,-6.07638,' <=50K'
2.876073,4.205762,1.310648,1.896379,1.100397,2.304295,-2.718498,-0.141781,-2.805535,3.308503,' <=50K'
-0.790434,1.293396,-2.694568,0.288147,-0.333471,-0.765676,2.495845,0.194946,2.062317,2.597475,' <=50K'
1.563995,5.862178,-0.613163,4.957019,1.372834,-0.645171,-1.468856,-1.490736,-2.06171,-1.108553,' <=50K'
-2.505792,-1.366438,-1.06032,3.315839,-2.134217,2.805698,-1.446176,-0.71302,2.79118,-2.953164,' <=50K'
-0.764177,2.582011,0.058476,1.246015,-2.403194,1.102345,-1.434724,1.805681,0.687831,-6.801791,' >50K'
-1.033132,4.49618,1.804154,1.898207,1.783095,0.53165,0.962122,0.739318,2.645662,-0.624618,' <=50K'
3.3988,5.103482,0.273627,2.30747,1.553123,2.004901,-1.698725,-3.06312,-1.149854,0.581507,' <=50K'
0.933894,-3.743299,-0.529861,1.601789,-0.42407,1.849393,-3.201721,1.424144,0.175526,-1.688677,' <=50K'
-1.174234,-0.691976,0.103848,-0.26141,-1.416375,2.745181,0.107953,0.728511,0.032347,0.875848,' >50K'
-1.196595,2.401182,-0.26295,2.202189,-1.068194,0.240137,-0.266621,4.156674,0.393646,-6.424012,' >50K'
1.810294,0.678333,-3.275324,-0.401397,2.251559,-1.208145,0.69587,1.744912,2.358387,0.351968,' <=50K'
-0.801196,7.592524,-1.055496,1.465393,1.327609,-1.615023,0.209411,-1.772322,0.889881,-3.383389,' <=50K'
2.496306,6.700733,-1.326509,5.935309,0.508248,-0.666856,-2.007382,-1.497652,-3.871607,0.072612,' <=50K'
-3.916917,-0.054577,-1.594435,1.956561,-2.656605,1.770831,-1.948013,-0.072155,1.81157,-5.371248,' <=50K'
-3.616429,2.045859,-1.617636,4.348649,-0.860645,1.89294,-0.909945,0.177446,1.663383,-1.658766,' >50K'
-0.513023,5.623983,-0.976728,1.795682,0.561977,-3.028813,0.513573,-4.411609,1.094748,-4.337935,' <=50K'
-0.795462,2.597345,0.041735,1.297848,-2.424955,1.129911,-1.411055,1.803743,0.690497,-6.780333,' >50K'
1.885017,6.293492,-0.423676,2.479729,1.600062,-0.770064,-1.173666,2.477074,-3.319085,-0.230998,' <=50K'
-3.089595,0.590693,-0.953379,2.860532,-3.76421,1.554441,-1.800505,-2.262543,1.82144,-5.398894,' >50K'
0.031324,4.535036,-0.162776,-0.322276,1.641152,-4.434391,1.624951,-2.359183,-0.295758,-2.840399,' <=50K'
-3.291642,0.015406,-2.275613,2.29962,-0.709507,1.245337,-2.052997,1.361833,0.094664,-2.970114,' >50K'
-3.968893,-1.335509,-0.330037,2.780093,-0.089802,0.441497,-2.120209,2.978909,-1.717749,-2.328542,' >50K'
-0.570472,3.070273,-0.712467,1.936826,-2.370182,2.109619,-2.1252,0.87039,-0.657869,-4.397301,' >50K'
2.322858,2.583178,0.712641,-0.945539,0.930991,-0.302398,4.579831,-2.335709,-1.611082,1.381416,' >50K'
2.537843,5.223302,3.448262,2.430354,3.607649,2.471237,-0.329933,-3.408767,-3.616281,3.119699,' <=50K'
-3.232797,8.694986,1.743087,0.252789,0.847411,-2.045659,2.210341,-0.910019,2.498357,-6.163479,' <=50K'
-4.538238,0.688094,1.536984,-0.78792,-0.766606,4.262969,0.14663,-0.014598,-1.956652,-6.30425,' >50K'
-1.24553,-3.138825,1.99841,-0.900329,-1.518535,1.157522,-1.865441,3.381285,3.061498,-1.496392,' <=50K'
-1.80248,5.378118,0.306164,2.634362,-1.406589,-0.983616,1.705958,0.930813,-0.013173,-7.178462,' <=50K'
-1.728832,-1.85894,-1.666456,2.184173,-5.348465,-0.004276,-0.203446,-2.729626,1.625269,-1.107423,' <=50K'
-0.587975,4.463906,0.328609,2.71616,1.350606,-2.084157,0.035997,-5.44637,1.005679,-0.315924,' <=50K'
-0.398274,4.968735,2.105365,1.582625,-1.94222,4.466899,0.485699,2.017497,-4.844515,-4.809879,' >50K'
2.381226,6.719702,-0.440309,1.562411,3.300686,-4.207387,0.660221,0.515214,0.001985,-5.117375,' <=50K'
0.922112,2.972835,-3.568213,0.992323,-3.012312,-2.311118,1.955664,1.503537,0.321113,0.930424,' <=50K'
0.853755,5.216304,-2.446092,0.412875,-0.256751,-1.347864,-3.304415,-0.536985,0.953389,-4.016779,' >50K'
3.454801,6.719539,-0.384684,0.192175,4.742424,-0.275716,0.888558,-3.921333,-1.778307,-1.366018,' <=50K'
-2.35405,-0.360186,-0.345794,0.565265,-0.451975,3.880369,-1.421106,1.162889,1.383243,-5.336767,' >50K'
2.033747,5.275261,-1.228917,3.913366,1.725963,-1.514253,-3.54188,0.109719,-0.004035,0.171178,' <=50K'
1.918969,5.888506,-0.519609,0.116174,1.357243,-1.814295,-2.227656,1.474542,-3.414516,-2.314056,' <=50K'
-0.746859,1.100929,0.691596,1.698802,-1.169029,2.787908,-3.282906,-2.26301,-0.66723,-4.201842,' >50K'
2.974796,9.335169,-0.840957,-0.043761,2.925419,-3.379208,1.490383,-3.118183,-2.849121,-0.270931,' <=50K'
0.745678,-0.675845,-0.564339,1.931469,0.385292,-1.177505,0.503707,-0.6597,-0.019768,-5.349193,' >50K'
-0.746616,0.646273,-1.18966,1.374541,-1.130175,3.876375,-2.611282,-0.385114,0.006084,-1.947759,' <=50K'
-2.080392,7.37567,-0.751023,4.057471,1.194189,-2.341105,1.112381,-1.550532,-0.771563,-1.617204,' <=50K'
-3.71324,1.375418,2.345513,2.855558,0.20075,-0.336311,1.806273,-2.088145,-3.363494,1.983963,' <=50K'
1.773878,7.969544,0.606991,-0.527997,2.282141,-2.704441,2.681585,-0.191022,-1.22974,-4.941795,' <=50K'
2.245804,5.95577,1.308586,4.308134,1.32453,0.006495,-1.672923,-1.149202,0.188386,-0.420336,' <=50K'
-3.925723,-1.496471,4.285721,2.780972,0.661841,3.585083,-2.237419,1.873723,0.434208,0.040657,' >50K'
-0.326581,3.043756,-2.529566,2.834428,-3.308772,2.73623,-0.66978,0.254813,-1.239561,-2.860226,' >50K'
0.539723,4.682258,-2.306516,-0.401986,0.899848,-0.646648,-3.822917,-1.446783,1.359012,-3.076551,' <=50K'
5.833502,4.634231,1.013682,1.265645,2.483729,-1.058912,-0.022796,0.58193,-2.423384,-1.514705,' >50K'
1.818769,3.818246,1.55751,6.200227,1.70862,-1.212041,-2.016859,-1.70793,0.448382,1.844726,' <=50K'
-2.441272,7.395876,3.262907,-1.115688,-1.781768,1.687884,-3.245213,-2.277054,-1.301933,-2.703256,' <=50K'
-1.129539,0.496566,-1.814178,1.468086,-0.857167,1.883337,-2.232734,0.858761,0.571375,-4.611929,' <=50K'
-3.610447,6.78235,2.440004,2.022331,4.330027,0.065141,0.909086,-1.58597,-1.431399,-1.70373,' <=50K'
-1.591864,0.178904,-1.235004,1.504008,-1.135144,1.186949,-1.41159,1.765049,1.904114,-6.8192,' <=50K'
-0.238091,6.092171,0.146135,3.165037,1.223196,-3.867061,0.526082,-2.677229,1.063891,-1.868117,' <=50K'
-0.335834,2.955272,-0.586911,1.548077,-2.206972,1.902867,-2.302712,0.884926,-0.677858,-4.558235,' <=50K'
-2.052775,-0.497158,-0.731702,0.877376,-1.604367,1.524364,-1.967401,-1.390936,1.474739,-5.903678,' >50K'
-2.03372,2.43122,-0.552047,-2.679911,-0.983115,-4.68871,0.05065,-1.75174,3.717825,1.594731,' <=50K'
-1.732786,4.848694,1.553215,1.402555,1.943621,-4.713267,2.215387,-1.726959,4.340508,-5.233345,' <=50K'
-0.254666,1.711319,-0.506641,2.822348,-0.478967,2.30698,-5.386965,-1.649407,1.87369,-5.256357,' <=50K'
1.158512,5.023674,-0.702592,3.647506,1.364189,-2.106476,-2.154417,1.033692,1.489337,-1.798306,' <=50K'
-0.097986,-2.403742,1.095186,0.626553,-2.372013,0.379335,-5.495852,1.628463,-0.124149,-0.464643,' <=50K'
2.484133,4.71959,-0.025207,3.352646,1.41141,-2.190947,-0.949228,-2.494181,-0.353511,0.677917,' <=50K'
-1.045743,2.720013,-0.092192,1.712513,-2.599045,1.350446,-1.221709,1.788238,0.711818,-6.60867,' <=50K'
0.691539,5.264549,-1.333997,1.137373,2.663563,0.806039,0.515524,2.643451,-1.153601,-4.341287,' <=50K'
-0.780377,4.243987,-4.265067,0.888171,-0.153323,-2.954611,0.717906,-1.531398,0.5391,1.208468,' <=50K'
2.212215,4.269662,0.703884,2.791419,1.323995,-3.129304,-0.199581,-1.563735,0.998852,-1.672929,' <=50K'
-2.881616,7.451609,2.58113,3.22308,2.284473,-0.468595,-0.627802,-3.133286,1.009656,-2.901748,' <=50K'
1.736107,5.921254,-2.526156,3.526896,0.861623,1.483502,-2.467617,0.277029,0.090185,-0.001064,' <=50K'
0.465829,7.629966,1.418988,2.997755,-0.611757,1.300979,3.086616,0.75207,-4.319466,-2.059893,' <=50K'
-0.742361,4.511049,2.359779,1.450518,-0.098051,-1.335602,-1.617783,0.208111,0.139573,-3.70107,' >50K'
3.102665,5.873795,1.086518,2.016018,2.202598,1.641777,-1.089623,-3.163051,-0.651027,0.659076,' <=50K'
3.589391,4.56955,0.670734,1.379481,1.149492,-0.456902,-0.58364,-4.46019,1.306561,-1.69195,' <=50K'
0.179176,7.689243,0.916147,1.189623,1.232055,0.432488,-0.557451,-1.67016,-0.41902,-1.51263,' <=50K'
-0.894263,0.244654,-4.062056,3.013869,-1.220754,1.869683,-1.000235,-2.946686,-2.375402,-2.546119,' <=50K'
0.189694,4.230543,-0.941468,-2.716157,2.486413,-3.909218,3.711916,-1.054212,2.952919,-3.418996,' <=50K'
0.557932,8.342922,0.278689,3.247446,0.791851,0.395788,0.626802,-3.36424,-0.876163,-0.225385,' <=50K'
0.785141,4.132471,-0.407295,2.842507,1.494406,-2.463537,-0.537445,-2.789564,1.612105,-0.952187,' <=50K'
-0.589769,6.283699,-1.356907,3.831633,0.933533,1.333543,-3.390758,-1.177841,0.239096,-0.705682,' >50K'
1.112727,5.633634,-3.134082,0.713868,-0.120222,-0.472291,-3.971715,-1.455872,-0.362027,-1.670032,' <=50K'
0.347284,4.717233,-2.039631,3.234841,-0.336825,-1.061823,-0.989378,-2.917368,-0.008415,-1.252886,' <=50K'
1.426992,1.915374,0.885062,2.370207,-0.693874,1.132948,-2.957786,5.086952,-2.576227,-5.068006,' <=50K'
0.140067,3.873761,-0.992367,4.106683,-0.994337,-2.267895,0.718299,5.08018,-3.011974,-6.120633,' <=50K'
2.055293,3.636588,-0.230172,0.863084,0.349989,1.262369,-2.448797,-0.165932,-1.618413,-3.664,' <=50K'
-0.799489,-0.299429,-1.217828,1.467563,-1.175778,2.033862,-3.885742,-2.333206,-0.171817,-4.149696,' <=50K'
-0.22012,-0.501672,0.59572,5.052572,0.695012,0.759086,-0.690918,-0.702615,-1.161495,-1.510138,' <=50K'
-0.539187,3.05494,-0.695726,1.884993,-2.348421,2.082052,-2.148868,0.872328,-0.660534,-4.418759,' <=50K'
-2.686949,-0.167337,-0.183448,0.973423,-2.92247,-0.852432,-2.278942,-0.246969,0.744403,-4.557571,' >50K'
3.138021,7.506907,-0.550413,2.948011,-0.298892,-1.4577,-0.156874,-1.054233,-1.078912,-2.443247,' <=50K'
2.297579,5.097449,2.776343,2.583956,2.532396,-1.729199,-0.622456,-2.423573,0.758544,-0.97889,' <=50K'
2.168476,6.442227,1.558638,3.281917,0.974541,-0.020569,-2.813468,-3.200054,2.022881,-0.115809,' <=50K'
-1.997824,6.564269,1.836742,-0.455399,3.286344,-0.921183,-0.36647,-0.890511,1.256608,-4.778997,' <=50K'
-0.739043,5.074487,2.273329,5.039739,3.290799,0.517065,-1.323489,-5.393661,0.361868,-0.322759,' <=50K'
0.970802,5.115675,-0.803037,3.958505,1.233621,-1.941075,-2.012408,1.022063,1.505328,-1.669558,' <=50K'
-2.883806,3.983124,-0.562347,3.950495,-0.389425,-4.491257,-2.442453,-3.747056,2.044225,0.592517,' <=50K'
-3.09062,-0.491855,-1.052463,2.526595,-3.470931,-0.064573,-2.040533,-0.413864,1.662415,-4.222186,' <=50K'
-1.140635,0.244369,-0.333816,0.342649,-0.80623,3.69992,-1.193571,-1.227666,-3.658018,-4.254151,' <=50K'
-2.871709,-1.214695,0.48317,1.087109,-2.242818,1.349954,-2.07459,-1.514174,1.133548,-3.341784,' <=50K'
-1.037336,2.912018,1.117345,2.037289,-1.239261,4.675467,-1.891941,-0.215658,-1.549192,-1.790476,' >50K'
-0.610917,2.16169,0.572098,2.594887,-1.29812,4.853991,-2.361505,-0.359217,-0.639785,-2.004972,' <=50K'
-1.322171,0.605583,-1.935268,1.892871,-1.012952,2.080897,-2.114208,0.842191,0.574343,-4.47494,' >50K'
0.377319,5.201688,-2.315278,2.783795,1.718501,2.271645,-1.934144,0.934284,0.177206,-1.170761,' <=50K'
-1.977469,-0.262316,0.455593,2.596233,-0.854098,3.580288,-2.093843,1.171001,-1.721909,-0.696104,' <=50K'
-2.207963,-0.851446,-0.670202,1.592363,-2.965944,-0.703218,-2.844333,-0.382359,1.520012,-4.803253,' <=50K'
-0.537154,2.076858,0.671605,2.120573,-1.174164,4.696256,-2.326617,-0.339195,-0.601263,-2.071785,' >50K'
2.869464,1.868953,-0.85504,2.165032,0.504103,3.505977,-1.180098,-2.301581,-3.559131,-1.802654,' >50K'
0.950239,4.491918,-1.82258,1.136519,2.391823,-1.068181,1.153893,-3.016766,1.375104,-2.620857,' <=50K'
-0.498295,3.512644,-0.137061,1.225676,-2.123963,1.717278,-2.16701,0.990291,-1.453393,-4.489484,' >50K'
3.077345,4.811736,0.826032,0.499763,3.550024,0.939428,-1.862253,-5.970124,-3.424304,1.496057,' <=50K'
-2.536996,5.432602,-1.587353,1.628474,0.80992,-2.263374,-0.056853,-3.985348,1.84647,-2.97915,' <=50K'
0.754578,-0.582849,-0.679649,2.620932,0.246187,-0.999869,0.315589,-0.690052,-0.110139,-5.322856,' <=50K'
5.164702,4.117951,-2.964542,5.223356,1.703021,-0.793439,-0.212392,0.311373,-2.421722,-1.540124,' <=50K'
0.121774,3.597494,-0.237085,3.726169,2.684555,-0.084667,0.345692,-2.217443,2.2581,-1.366511,' <=50K'
0.255501,1.597055,1.692124,1.206781,-1.065,7.011981,0.821873,-0.78093,-5.05618,-2.241278,' >50K'
0.730052,0.364627,-0.470789,1.80713,0.770567,1.518786,2.26964,-0.504463,-4.930109,-3.115237,' >50K'
2.180936,1.614001,1.204451,1.614018,-0.271153,0.598445,-3.65514,5.112028,-2.703185,-5.562412,' <=50K'
-0.819289,0.077134,-0.149854,-0.260179,-0.568179,3.398217,-1.418542,-1.204668,-3.676432,-4.477801,' <=50K'
-1.188077,5.262935,1.047066,0.135183,-0.628017,0.280335,-1.906234,-2.313817,-2.10622,-3.593537,' >50K'
-0.321659,3.02674,-2.508922,2.720642,-3.283554,2.704071,-0.646296,0.259754,-1.226538,-2.868469,' >50K'
-1.178686,6.300233,-4.243461,2.606586,-1.491456,0.178488,-3.656289,-0.168197,-0.002237,-0.839678,' <=50K'
-0.579632,2.146357,0.588838,2.543054,-1.276358,4.826424,-2.385173,-0.357279,-0.642451,-2.02643,' >50K'
-3.75691,0.734204,0.083372,-0.475876,-0.855013,-1.54741,2.978551,4.53645,-0.877788,0.240851,' >50K'
-1.964464,6.447492,-2.493218,3.202845,-0.304921,-1.96804,-0.323193,-4.014553,0.067223,-1.55122,' <=50K'
0.134493,0.286371,-0.501038,1.350499,-1.083555,-0.188789,-1.607086,5.967583,-0.412998,-6.787156,' <=50K'
1.160439,4.265281,-4.701367,1.909167,0.498146,1.46116,-2.533401,2.068618,0.910231,-2.144373,' <=50K'
2.417828,6.59014,-0.548169,3.593804,3.189679,-3.909301,1.955073,0.631802,-4.008035,-0.757862,' <=50K'
