@relation adult_LDA-outV2

@attribute A numeric
@attribute Class {<=50K,>50K}

@data
0.226365,<=50K
0.25534,<=50K
0.042496,>50K
0.230703,>50K
-0.181686,<=50K
0.495088,>50K
0.38964,>50K
-0.245466,<=50K
0.049105,<=50K
-0.418599,<=50K
-0.308115,<=50K
-0.20825,<=50K
0.07752,<=50K
-0.127622,<=50K
0.381826,>50K
-0.277881,<=50K
-0.021099,<=50K
0.373369,>50K
0.728636,>50K
0.595617,>50K
0.130899,<=50K
0.564791,>50K
0.181227,<=50K
0.688747,>50K
0.022028,<=50K
0.243816,>50K
0.273294,>50K
0.06512,<=50K
0.581682,<=50K
-0.048761,<=50K
-0.183465,<=50K
0.17937,>50K
0.314164,>50K
0.183184,<=50K
0.504597,<=50K
-0.447203,<=50K
0.414143,>50K
0.184613,>50K
0.080224,<=50K
-0.175036,<=50K
-0.406128,<=50K
0.24994,<=50K
0.245045,>50K
-0.262832,<=50K
-0.102215,<=50K
-0.074552,<=50K
0.114082,<=50K
-0.184985,<=50K
0.004101,<=50K
-0.316055,<=50K
-0.250022,<=50K
0.580509,>50K
0.676788,>50K
-0.212297,<=50K
1.1636,>50K
-0.207984,<=50K
-0.123273,<=50K
0.925683,>50K
-0.262286,<=50K
-0.387474,>50K
-0.190406,<=50K
0.30981,>50K
-0.451059,<=50K
0.081404,<=50K
-0.457287,<=50K
0.235468,<=50K
0.01981,<=50K
-0.118861,<=50K
0.624854,>50K
0.106027,<=50K
0.007513,<=50K
-0.015146,<=50K
-0.479041,<=50K
0.365343,>50K
-0.168705,<=50K
-0.316346,<=50K
-0.319106,<=50K
0.904361,>50K
-0.215979,<=50K
-0.312569,<=50K
-0.392223,<=50K
-0.484673,<=50K
0.126045,<=50K
0.241824,<=50K
0.1396,<=50K
0.727542,>50K
-0.360293,<=50K
-0.113387,<=50K
-0.357538,<=50K
0.50498,>50K
0.186663,>50K
0.054411,<=50K
-0.374454,<=50K
0.053909,<=50K
-0.366091,<=50K
0.557353,>50K
-0.177066,<=50K
0.337129,<=50K
-0.527306,<=50K
0.47579,>50K
-0.327271,<=50K
-0.048952,<=50K
0.090849,<=50K
0.791033,>50K
0.567431,>50K
-0.157885,<=50K
0.25722,<=50K
-0.402085,<=50K
0.34322,>50K
-0.285674,<=50K
-0.372944,<=50K
-0.383182,<=50K
0.358385,<=50K
-0.439559,<=50K
0.092629,<=50K
0.131229,>50K
-0.185348,<=50K
0.058413,<=50K
-0.427263,<=50K
0.162446,<=50K
-0.376632,<=50K
0.508089,>50K
0.039171,<=50K
0.089214,<=50K
-0.479586,<=50K
0.340483,<=50K
0.277363,>50K
-0.443479,<=50K
0.156024,<=50K
0.153206,<=50K
-0.250153,<=50K
-0.000498,<=50K
-0.494798,<=50K
-0.461583,<=50K
-0.232295,<=50K
-0.304918,<=50K
0.037344,<=50K
0.53805,>50K
-0.310175,<=50K
-0.260197,<=50K
0.190567,<=50K
0.018556,<=50K
0.325046,<=50K
0.17038,<=50K
-0.389888,<=50K
-0.031654,<=50K
0.108283,<=50K
-0.507567,<=50K
-0.389141,<=50K
-0.299377,<=50K
-0.314882,>50K
-0.195516,<=50K
-0.353427,<=50K
0.28747,<=50K
0.694799,>50K
0.30797,>50K
-0.356048,<=50K
-0.466391,<=50K
0.292372,>50K
0.119453,<=50K
0.492118,>50K
-0.403805,<=50K
0.514561,>50K
-0.455612,<=50K
-0.503151,<=50K
0.096508,>50K
-0.475307,<=50K
0.299846,<=50K
-0.37052,<=50K
0.07586,<=50K
-0.183605,<=50K
-0.077302,<=50K
0.009279,<=50K
-0.091227,<=50K
-0.173374,<=50K
-0.19489,<=50K
-0.267926,<=50K
-0.153988,<=50K
0.619929,>50K
0.225714,<=50K
0.094451,<=50K
0.35361,<=50K
-0.449593,<=50K
0.070364,>50K
0.22838,<=50K
0.520034,>50K
0.638516,<=50K
0.187033,<=50K
-0.330928,<=50K
-0.335837,<=50K
-0.151657,<=50K
0.630462,<=50K
-0.054867,<=50K
-0.203923,<=50K
-0.050597,<=50K
-0.273182,<=50K
0.620996,>50K
-0.355055,<=50K
-0.04388,<=50K
-0.246507,<=50K
0.340478,>50K
0.173153,<=50K
-0.139386,<=50K
-0.384354,<=50K
0.684817,>50K
-0.156018,<=50K
-0.123986,<=50K
0.163131,<=50K
-0.449878,<=50K
-0.251429,<=50K
0.294005,>50K
0.543928,>50K
-0.304899,<=50K
-0.376084,<=50K
0.702689,>50K
-0.252194,<=50K
-0.13531,<=50K
-0.400421,<=50K
-0.109368,<=50K
-0.21127,<=50K
-0.138226,<=50K
0.080398,>50K
-0.329516,<=50K
-0.424223,<=50K
0.479654,>50K
0.199674,>50K
0.132037,<=50K
0.204865,<=50K
-0.493307,<=50K
0.009395,<=50K
0.229696,<=50K
0.046721,<=50K
0.467058,>50K
-0.031914,<=50K
-0.291945,<=50K
-0.325551,<=50K
-0.406676,<=50K
-0.289244,<=50K
0.168625,<=50K
-0.246296,<=50K
-0.080552,<=50K
0.120673,<=50K
-0.144046,<=50K
-0.443456,<=50K
-0.443855,<=50K
0.317682,>50K
0.666879,<=50K
0.181049,<=50K
0.132079,>50K
1.040754,>50K
0.096805,>50K
0.289119,<=50K
0.117077,<=50K
-0.388196,<=50K
0.265536,<=50K
0.530449,>50K
0.430065,>50K
-0.333861,<=50K
0.186578,<=50K
0.345907,<=50K
0.057408,<=50K
-0.007668,>50K
-0.396405,<=50K
-0.08501,<=50K
0.354504,>50K
-0.03894,<=50K
-0.303073,<=50K
0.058889,<=50K
0.397356,<=50K
-0.158668,<=50K
-0.384168,<=50K
-0.31271,<=50K
0.696081,>50K
-0.575125,<=50K
-0.317046,<=50K
0.700774,>50K
-0.443765,<=50K
0.050789,<=50K
0.133559,<=50K
-0.414492,<=50K
-0.303898,<=50K
-0.519657,<=50K
0.096089,<=50K
-0.357171,<=50K
0.437468,<=50K
-0.372427,<=50K
0.079177,<=50K
0.362629,<=50K
0.099931,>50K
0.126971,<=50K
0.630591,>50K
0.670438,<=50K
-0.050816,<=50K
-0.036869,<=50K
0.664613,<=50K
-0.123446,<=50K
-0.402368,<=50K
-0.394194,<=50K
-0.033265,<=50K
-0.497487,<=50K
-0.273246,<=50K
-0.233458,<=50K
-0.571814,<=50K
0.298663,<=50K
0.005178,>50K
0.091163,<=50K
-0.458268,<=50K
0.054115,>50K
0.491764,>50K
0.969779,>50K
-0.112541,<=50K
-0.373139,<=50K
-0.276396,<=50K
-0.270948,<=50K
0.344703,>50K
-0.097778,<=50K
0.035114,<=50K
0.226188,<=50K
0.192774,>50K
-0.394928,<=50K
0.621125,>50K
0.509268,<=50K
-0.26776,<=50K
0.443315,>50K
0.087731,>50K
0.471534,>50K
0.259062,>50K
0.003006,<=50K
0.712187,>50K
0.161623,>50K
0.237128,<=50K
-0.46877,<=50K
-0.004802,<=50K
-0.374999,<=50K
0.16655,<=50K
0.21344,>50K
-0.465369,<=50K
0.017628,<=50K
0.518132,>50K
0.511031,>50K
0.414772,>50K
-0.396508,<=50K
0.081895,<=50K
0.084258,<=50K
0.082471,>50K
0.099221,<=50K
0.251315,>50K
0.332087,<=50K
0.099948,>50K
-0.304623,<=50K
-0.624768,<=50K
0.033719,<=50K
-0.487237,<=50K
-0.122948,<=50K
0.185746,>50K
0.807782,>50K
-0.024088,<=50K
0.237382,<=50K
0.638568,<=50K
-0.198973,<=50K
0.192458,<=50K
0.110565,<=50K
-0.006279,<=50K
-0.418479,<=50K
0.088137,<=50K
0.120808,>50K
-0.208016,<=50K
0.755249,>50K
-0.147205,<=50K
0.704106,>50K
-0.118228,<=50K
0.35254,<=50K
-0.546101,<=50K
0.443694,>50K
0.788721,>50K
-0.378625,<=50K
-0.317603,<=50K
-0.349248,<=50K
0.809986,>50K
-0.179901,<=50K
0.010332,<=50K
-0.241425,<=50K
-0.472668,<=50K
-0.282213,<=50K
-0.027619,<=50K
0.174,<=50K
-0.429656,<=50K
-0.480014,<=50K
0.63844,>50K
-0.446048,<=50K
0.019156,<=50K
-0.307556,<=50K
-0.335596,<=50K
0.285496,>50K
0.26852,>50K
0.228399,>50K
-0.255551,<=50K
-0.156232,>50K
-0.285952,<=50K
0.098888,>50K
0.44171,<=50K
0.475142,>50K
-0.050142,<=50K
0.231032,>50K
-0.458705,<=50K
0.000959,>50K
-0.462096,<=50K
-0.261778,<=50K
-0.26506,<=50K
0.108613,<=50K
0.51327,>50K
0.362159,>50K
-0.223544,<=50K
-0.032907,<=50K
-0.228634,<=50K
0.011381,<=50K
-0.186495,<=50K
-0.419004,<=50K
-0.476494,<=50K
0.110896,>50K
-0.199951,<=50K
0.673928,>50K
0.366161,<=50K
0.032645,<=50K
0.699435,>50K
-0.129077,<=50K
-0.108046,<=50K
-0.249651,<=50K
0.42188,>50K
-0.157446,<=50K
0.172853,>50K
0.122825,<=50K
0.136485,<=50K
1.309942,>50K
-0.476284,<=50K
-0.32104,<=50K
-0.249912,<=50K
-0.127485,<=50K
-0.360924,<=50K
0.587386,>50K
-0.313222,<=50K
0.741574,>50K
0.676783,>50K
0.471845,<=50K
0.187316,<=50K
-0.134386,<=50K
0.305241,>50K
0.109935,<=50K
-0.555884,<=50K
-0.364841,<=50K
-0.346979,<=50K
0.944575,>50K
-0.388644,<=50K
0.377598,<=50K
-0.318531,<=50K
0.404757,>50K
0.336382,>50K
-0.312935,<=50K
0.179678,<=50K
0.017791,>50K
-0.12981,<=50K
0.02527,<=50K
0.531839,>50K
-0.020203,>50K
-0.24174,<=50K
-0.334464,<=50K
-0.079641,<=50K
0.301135,>50K
-0.406841,<=50K
-0.460623,<=50K
0.224182,<=50K
-0.434612,<=50K
0.13812,<=50K
0.835904,>50K
0.10537,<=50K
-0.356684,<=50K
-0.216048,<=50K
0.054037,<=50K
-0.495205,<=50K
-0.283964,<=50K
0.678304,>50K
-0.215486,<=50K
0.579836,>50K
-0.312185,<=50K
-0.365987,<=50K
0.501192,>50K
-0.295289,<=50K
-0.281688,<=50K
-0.176439,<=50K
-0.133083,<=50K
-0.239681,<=50K
-0.427207,<=50K
0.682534,>50K
0.560875,>50K
-0.33143,<=50K
-0.425069,<=50K
0.277393,<=50K
-0.256906,<=50K
-0.492345,<=50K
-0.05713,<=50K
-0.094171,<=50K
0.769483,>50K
-0.258614,<=50K
-0.391043,<=50K
0.080292,<=50K
0.485353,<=50K
-0.393173,<=50K
-0.23452,<=50K
0.116713,>50K
-0.242668,<=50K
0.440244,>50K
-0.327001,<=50K
0.05832,<=50K
0.024492,<=50K
0.295403,<=50K
-0.336169,<=50K
0.214928,<=50K
-0.255232,<=50K
0.564781,>50K
0.655614,<=50K
-0.554817,<=50K
-0.24724,<=50K
0.215418,<=50K
0.335618,<=50K
-0.434042,<=50K
-0.404018,<=50K
-0.096936,<=50K
0.101868,<=50K
-0.11249,<=50K
-0.093482,<=50K
0.590572,>50K
-0.077625,<=50K
0.301582,>50K
-0.405694,<=50K
-0.319394,<=50K
-0.489241,<=50K
-0.405148,<=50K
-0.009427,<=50K
0.218324,<=50K
0.148407,<=50K
-0.045268,<=50K
0.248153,<=50K
-0.383736,<=50K
0.132761,>50K
-0.159171,<=50K
-0.117001,<=50K
0.691884,<=50K
-0.419771,<=50K
-0.038843,<=50K
-0.258986,>50K
0.00884,<=50K
0.291055,<=50K
-0.390958,<=50K
-0.384517,<=50K
-0.371328,<=50K
-0.237115,<=50K
-0.132704,<=50K
-0.29728,<=50K
0.385617,>50K
0.523319,>50K
-0.29268,<=50K
-0.096767,<=50K
-0.204572,<=50K
0.495112,<=50K
-0.248161,<=50K
-0.190027,<=50K
-0.145656,<=50K
-0.41124,<=50K
-0.289023,<=50K
0.818434,>50K
0.791308,>50K
0.359945,<=50K
-0.255749,>50K
0.212596,>50K
-0.380491,<=50K
-0.317899,<=50K
0.184985,>50K
0.224708,<=50K
0.698925,>50K
-0.418524,<=50K
-0.278782,<=50K
-0.45971,<=50K
-0.077977,>50K
-0.463191,<=50K
-0.257044,<=50K
-0.34824,<=50K
0.132878,<=50K
-0.176105,<=50K
-0.626859,<=50K
-0.496343,<=50K
-0.21391,<=50K
-0.160981,<=50K
0.510961,<=50K
0.470808,<=50K
-0.403072,<=50K
-0.323097,<=50K
0.554605,<=50K
-0.345751,<=50K
0.204324,<=50K
0.31797,<=50K
0.119855,<=50K
-0.37568,<=50K
0.339593,<=50K
-0.049835,<=50K
0.214838,>50K
-0.31584,<=50K
0.794268,>50K
0.568257,<=50K
0.046743,<=50K
-0.022651,<=50K
-0.336735,<=50K
-0.355985,<=50K
-0.066781,<=50K
0.119453,<=50K
0.440985,>50K
-0.546807,<=50K
0.132878,>50K
-0.305974,>50K
0.108744,<=50K
-0.45252,<=50K
0.186534,<=50K
0.535196,<=50K
0.226867,>50K
-0.560706,<=50K
0.30567,>50K
0.154179,<=50K
0.270525,<=50K
0.310474,>50K
0.308828,>50K
-0.152007,<=50K
0.112624,<=50K
0.191761,<=50K
0.418756,>50K
0.617036,>50K
0.059305,<=50K
-0.249507,<=50K
0.153623,>50K
0.643597,>50K
-0.330897,<=50K
-0.021727,>50K
0.872761,>50K
0.132878,<=50K
-0.144444,<=50K
-0.292002,<=50K
-0.122818,<=50K
0.101342,<=50K
-0.054423,<=50K
0.640391,>50K
0.200979,<=50K
-0.388644,<=50K
-0.627536,<=50K
0.192597,<=50K
-0.022141,<=50K
-0.434262,<=50K
0.212123,<=50K
-0.164113,<=50K
-0.033225,<=50K
0.437018,>50K
0.559361,>50K
0.682337,>50K
0.258007,>50K
-0.147344,<=50K
-0.353543,<=50K
0.247389,<=50K
-0.514215,<=50K
0.241752,>50K
0.357251,>50K
-0.390603,<=50K
-0.275675,<=50K
0.575451,>50K
-0.321631,<=50K
0.043033,<=50K
0.2531,<=50K
-0.260398,<=50K
0.488849,>50K
-0.296113,<=50K
0.012573,<=50K
-0.261738,<=50K
0.339032,<=50K
0.761354,>50K
-0.284016,<=50K
-0.279822,<=50K
0.308445,>50K
0.124781,<=50K
0.471384,<=50K
0.076236,>50K
0.377697,>50K
-0.470625,<=50K
0.290828,>50K
-0.323527,<=50K
-0.131063,<=50K
0.089533,<=50K
0.073838,<=50K
-0.296432,<=50K
0.282992,>50K
0.112169,<=50K
0.424542,>50K
0.296681,<=50K
-0.125289,<=50K
-0.205946,<=50K
-0.39226,<=50K
-0.163158,<=50K
0.460532,>50K
0.204018,<=50K
0.383538,<=50K
-0.505555,<=50K
-0.409479,<=50K
0.17432,>50K
-0.460717,<=50K
0.142249,<=50K
-0.061588,<=50K
0.64924,>50K
-0.306982,<=50K
0.151441,<=50K
0.106765,<=50K
-0.273357,<=50K
0.553061,>50K
0.37858,<=50K
-0.04195,<=50K
0.396402,<=50K
-0.169187,<=50K
0.306966,>50K
0.302332,>50K
-0.440583,<=50K
0.78544,>50K
0.122037,<=50K
0.09034,<=50K
-0.510911,<=50K
0.264538,<=50K
-0.337555,<=50K
-0.345733,<=50K
-0.403394,<=50K
-0.21461,<=50K
0.171785,<=50K
-0.287902,<=50K
-0.34597,<=50K
0.240481,<=50K
0.118916,<=50K
0.194238,<=50K
0.090643,<=50K
-0.018131,<=50K
0.457549,<=50K
0.555043,<=50K
0.700945,>50K
-0.019538,<=50K
-0.394014,<=50K
0.069617,<=50K
0.260276,>50K
0.274045,<=50K
-0.441684,<=50K
0.201227,>50K
0.213723,>50K
0.575289,<=50K
-0.441088,<=50K
-0.467022,<=50K
-0.292757,<=50K
-0.317953,<=50K
0.169347,<=50K
-0.46329,<=50K
-0.099109,<=50K
0.163291,<=50K
-0.371961,<=50K
0.118916,>50K
-0.42623,<=50K
0.295109,<=50K
0.290806,>50K
-0.375993,<=50K
0.32367,>50K
-0.200327,<=50K
0.229072,>50K
-0.120824,<=50K
-0.045273,<=50K
-0.513253,<=50K
0.198998,>50K
0.114082,>50K
-0.343503,<=50K
-0.423486,<=50K
-0.208175,<=50K
0.171723,>50K
-0.308852,<=50K
-0.332196,<=50K
-0.214219,<=50K
-0.424708,<=50K
-0.395106,<=50K
0.265275,<=50K
0.151704,<=50K
0.234692,<=50K
-0.269974,<=50K
-0.148671,<=50K
-0.499213,<=50K
0.202902,<=50K
-0.35896,<=50K
-0.279317,<=50K
-0.130833,<=50K
-0.356062,<=50K
-0.419959,<=50K
-0.347936,<=50K
0.230153,>50K
0.111397,<=50K
0.097337,>50K
-0.07013,<=50K
-0.237402,<=50K
-0.22281,<=50K
0.148156,<=50K
-0.268979,<=50K
-0.482726,<=50K
-0.420336,<=50K
-0.397562,<=50K
-0.262686,<=50K
-0.401454,<=50K
0.330119,>50K
0.535475,>50K
-0.304747,<=50K
0.39954,>50K
0.661657,>50K
-0.462513,<=50K
-0.25847,<=50K
0.221432,>50K
-0.347703,<=50K
-0.436404,<=50K
0.397774,>50K
-0.385479,<=50K
0.369616,>50K
0.013752,<=50K
0.409772,>50K
0.352691,>50K
-0.374716,<=50K
0.604287,>50K
0.641616,>50K
-0.261099,<=50K
-0.343037,<=50K
-0.258315,<=50K
-0.033576,<=50K
0.001423,<=50K
-0.027855,<=50K
0.100097,<=50K
0.09592,>50K
-0.426344,<=50K
-0.584465,<=50K
-0.299585,<=50K
0.103472,<=50K
0.157322,<=50K
0.036262,<=50K
0.386103,>50K
0.513078,<=50K
0.185781,<=50K
-0.295615,<=50K
-0.239514,<=50K
-0.47384,<=50K
-0.21472,<=50K
-0.473933,<=50K
-0.474532,<=50K
-0.13433,<=50K
-0.375851,<=50K
0.107591,<=50K
0.563271,<=50K
0.454523,>50K
-0.289455,<=50K
0.081232,<=50K
-0.530269,<=50K
0.169247,<=50K
0.25534,<=50K
-0.358228,<=50K
0.14293,<=50K
0.612469,>50K
0.30476,<=50K
-0.375666,<=50K
-0.377575,<=50K
0.091793,<=50K
-0.298059,<=50K
0.244077,<=50K
0.401972,<=50K
-0.363976,<=50K
0.401026,>50K
-0.460982,<=50K
0.154785,<=50K
0.054846,>50K
-0.210264,<=50K
-0.205015,<=50K
-0.355022,<=50K
-0.057525,<=50K
0.484929,<=50K
0.265975,>50K
-0.261424,<=50K
-0.229859,<=50K
0.194,<=50K
0.512379,<=50K
0.283669,>50K
0.549338,>50K
-0.060481,<=50K
0.330958,>50K
-0.294997,<=50K
0.117491,<=50K
-0.286899,<=50K
0.113793,<=50K
-0.458705,<=50K
0.096508,<=50K
-0.384418,<=50K
-0.033626,<=50K
-0.115979,<=50K
0.106027,<=50K
-0.343842,<=50K
0.243895,<=50K
-0.417383,<=50K
-0.268815,<=50K
0.190809,<=50K
-0.438315,<=50K
-0.17171,<=50K
-0.413678,<=50K
0.314298,>50K
-0.38618,<=50K
-0.290721,<=50K
-0.421915,<=50K
0.151547,<=50K
0.50979,>50K
0.086652,>50K
0.418182,>50K
-0.510579,<=50K
0.092213,<=50K
-0.085184,<=50K
-0.2085,<=50K
-0.110753,<=50K
-0.181492,<=50K
0.343553,<=50K
-0.334685,<=50K
0.062861,>50K
-0.157106,<=50K
0.62221,>50K
-0.251259,<=50K
0.53634,>50K
-0.48498,<=50K
1.070424,>50K
-0.383903,<=50K
0.125842,>50K
-0.512845,<=50K
-0.09375,<=50K
-0.208382,<=50K
0.318903,<=50K
-0.446403,<=50K
-0.35109,<=50K
0.03978,>50K
0.716783,<=50K
0.053137,<=50K
0.162477,<=50K
-0.31204,<=50K
0.329358,>50K
0.588564,>50K
-0.03591,<=50K
0.181082,<=50K
0.676616,>50K
-0.333197,>50K
-0.423957,<=50K
-0.005066,>50K
-0.249468,<=50K
0.52679,>50K
0.058171,<=50K
0.063546,<=50K
-0.051981,<=50K
0.178252,<=50K
0.164092,<=50K
-0.043883,<=50K
-0.032715,<=50K
-0.349155,<=50K
0.133538,<=50K
-0.196778,<=50K
-0.435719,<=50K
-0.102352,<=50K
-0.106099,<=50K
-0.136224,<=50K
0.218956,<=50K
0.35003,<=50K
-0.211368,<=50K
0.069121,<=50K
-0.181188,<=50K
-0.179225,<=50K
0.301742,<=50K
-0.392009,<=50K
0.643886,>50K
0.113546,<=50K
-0.490524,<=50K
0.279415,>50K
-0.40859,<=50K
-0.334773,<=50K
-0.356753,<=50K
0.08382,<=50K
0.496849,>50K
-0.154874,<=50K
0.136446,<=50K
0.713426,>50K
-0.086629,<=50K
-0.466934,<=50K
-0.428445,<=50K
0.369195,>50K
0.132591,<=50K
-0.211542,<=50K
-0.262895,<=50K
-0.062823,<=50K
-0.406841,<=50K
0.623546,>50K
0.097972,<=50K
0.496749,>50K
-0.43804,<=50K
0.407494,<=50K
-0.126099,<=50K
-0.410328,<=50K
-0.255803,<=50K
0.076657,>50K
0.070075,<=50K
-0.280652,<=50K
-0.536407,<=50K
0.884578,>50K
0.668724,>50K
-0.292771,<=50K
-0.244314,<=50K
0.109115,<=50K
0.184454,>50K
-0.564005,<=50K
0.517241,>50K
-0.355172,<=50K
-0.46139,<=50K
-0.372237,<=50K
0.055445,<=50K
-0.388275,<=50K
-0.573443,<=50K
0.663354,>50K
0.17575,>50K
0.150713,<=50K
0.538297,<=50K
0.061854,<=50K
-0.000272,<=50K
0.461891,>50K
-0.348987,<=50K
-0.213132,<=50K
-0.080806,<=50K
-0.464427,<=50K
0.08995,<=50K
-0.387812,<=50K
-0.205099,<=50K
-0.245023,<=50K
-0.458867,<=50K
-0.348763,<=50K
-0.269537,<=50K
-0.225762,<=50K
0.008656,<=50K
0.108082,<=50K
-0.189605,<=50K
0.676118,>50K
0.022143,<=50K
-0.302186,<=50K
0.091649,<=50K
0.646725,>50K
0.416553,>50K
-0.32742,<=50K
0.138281,<=50K
-0.266555,<=50K
-0.570147,<=50K
-0.095125,<=50K
0.194432,<=50K
0.020143,<=50K
-0.146784,<=50K
0.081146,<=50K
-0.327076,<=50K
-0.260131,<=50K
0.662681,<=50K
-0.593704,<=50K
0.005673,<=50K
-0.146101,<=50K
0.294453,>50K
0.030179,<=50K
-0.458927,<=50K
0.136091,<=50K
0.813674,>50K
-0.404183,<=50K
0.729474,>50K
0.082546,<=50K
-0.406703,<=50K
0.581764,<=50K
-0.502111,<=50K
0.101878,<=50K
-0.172351,<=50K
-0.388378,<=50K
-0.470718,<=50K
0.520046,<=50K
-0.349109,<=50K
-0.165561,<=50K
0.617934,<=50K
-0.343037,<=50K
-0.452453,<=50K
-0.196478,<=50K
0.107614,<=50K
-0.279836,<=50K
-0.016693,<=50K
0.348371,>50K
0.581761,>50K
0.108488,<=50K
0.438732,>50K
0.104027,<=50K
0.446876,>50K
-0.23598,<=50K
-0.378922,<=50K
-0.19851,<=50K
0.108712,<=50K
-0.363977,<=50K
-0.373376,<=50K
0.158896,>50K
0.608182,>50K
-0.470631,<=50K
0.054462,<=50K
-0.239338,<=50K
0.24658,<=50K
0.521649,>50K
-0.542578,<=50K
0.317786,>50K
-0.178042,<=50K
-0.369101,<=50K
0.000442,<=50K
-0.372844,<=50K
0.029941,<=50K
-0.286787,<=50K
-0.07647,<=50K
0.73525,>50K
-0.268242,<=50K
0.466081,>50K
0.081914,>50K
-0.483107,<=50K
-0.390826,<=50K
0.059594,<=50K
0.150841,<=50K
-0.07779,>50K
0.393514,>50K
-0.154189,<=50K
0.106172,>50K
0.396855,<=50K
-0.248118,<=50K
0.004521,<=50K
0.528771,>50K
0.676316,>50K
-0.523595,<=50K
0.223694,<=50K
-0.313444,<=50K
0.747561,>50K
0.167277,<=50K
0.698766,>50K
-0.357881,<=50K
0.078921,<=50K
-0.490722,<=50K
-0.500456,<=50K
0.050228,<=50K
0.335195,<=50K
